Русское слово,Ительменское слово
разрывать,lek'a- п1; lek'asxen- п1
разрывать на куски,sxč'zit- п1
разряжать,əntpɬ- п1
разуваться,atɬal- неп
рай,qisχčaχ сущ
рак,kajkč' сущ
ракета,rakеta сущ
кипрея,zesχəl сущ с.; sesχəl сущ
ракушка морская,qajʔačχ сущ; qerwitinəŋ сущ
рана,ostnom сущ; pəznom сущ; telnom сущ
рана от укуса,pəlnom сущ
ранить,nəptəɬawaʔɬ- неп; raɲe- п1
ранить слегка,ostala- п1
ранка,eʔɲečχ сущ
раньше,it'e союз; qaʔt it'e нареч
раскалывать,ənt'ɬ- п1
раскапывать,satu- п1
раскачивать,ənqelewet- п1
раскачиваться,t'enŋat- неп
раскидывать,intkiteʔɬ- неп
раскидываться,qamst- неп
раскинуться,pla- неп
раскиснуть,utxsi- неп
раскладывать,əzzut- п1
расколоться,it'ɬ- неп
раскрашивать,anzazo- п1
раскрывать,iqet- неп; əmp'q'a- п1; ənqe- п1
раскрываться,iqi- неп; p'k'a- неп; p'k'akas инф неп
"распарывать (одежду, сеть)",it'ɬqre- п1
распиливать,piliʔɬ- неп
расписание,raspisan'е сущ
расползаться,filk'si- неп
располагаться,əzwa- неп
месте,ɬtaroŋ- неп
расположенный выше,xaɲčʔan прил
распорка у бата,ŋəlŋəl сущ
распродавать,zəmplit- п1
распространять запах,əʔɲɬumza- п1
распрягать,aχɬ- п1
распускаться,p'k'a- неп; p'k'akas инф неп
распутывать,ənk'olest- п1
рассаживать,əɲɬaʔɬet- п1
рассвет,txsanom сущ
рассветать,ɬŋunu- неп; txsa- неп
рассердить,ənχaqaŋe- п1
рассердиться,χaqaɲɬ- неп
чаем,ŋipsxen- неп
рассказ,lanom сущ
рассказывать,anla- неп; la- п2; lawala- п2
рассказывать сказки,amŋel- неп
рассматривать,ɬčkut- п1; əɬčkuste- п1
рассмеяться,ɬŋizi- неп
расспрашивать,ɬeɲɬlozo- п1
расставаться,ɬma- неп
расставлять,əntχzuʔɬit- п1
расстилать,əmpɬi- п1; əmpɬit- п1; əmpɬit- п1
рассыпать,nepeŋet- п1
рассыпать приманку,ŋičxeŋ- п1
рассыпаться,itne- неп
растапливать,ənčoʔɬ- п1; ənčoʔɬat- п1
растапливать жир,fčizi- п1
растаять,čo- неп
"растворять в воде, в тесте",əntewelet- п1
растворяться,towel- неп; towelet- неп неп; tozaʔɬ- неп; tχel- п1
растительная пища,meɬqew сущ
растопка,mt'uŋečx сущ; əɲč'sxenə- п1
жирника,paŋirʔon сущ
растягиваться,qamst- неп
растянуться,pla- неп; χamtzi- неп
расходовать,piɲɬf- п1; čzil- неп; čzil- п1
расцветать,p'k'a- неп; p'k'akas инф неп
расческа,txəmtx сущ
расчесывать,əmtxla- п1
расширить,naŋɬa- п1
расширять,ənkotŋa- п1
расширяться,kotsa- неп
рачки-паразиты,fačχ сущ
рачок речной,akawʔač сущ
рваный,kč'essxenknen прил
рвать,lek'a- п1; lek'asxen- п1; sč'ez- п1; sč'ezet- п1
рвать в клочья,sč'xn- п1; č'essxen- неп
клочья,sč'xepet- п1
рваться,qsi- неп; lek'a- неп; pxe- неп; sč'es- неп
рваться с цепи,tesxen- неп
местах,sč'esxen- ič'eč'wum неп
вид сараны,temeq сущ
растение типа кимчиги,rəmŋen сущ
растереть,tozata- п1
расти,əsxte- неп; esχte- неп
растирание,anzas сущ; anzaʔnoŋ сущ
растирать,tozazo- п1; tozazoʔɬ-
ребенка убаюкивать,krweɬu- п1
ребенок,ɲeɲekečχ сущ; p'eč сущ
ребенок приемный,tχaʔɬes сущ
ребро,ftorel сущ
ребята,ɲeʔɲsxč'eʔn сущ
рев,fajxanom сущ
реветь,bewe- неп; fajxa- неп
редиска,rediskaʔ сущ
редкий,eʔlaχ прил
редко,eʔlq нареч
редко встречающийся,ɬmaʔnax сущ
редко стоящий,eʔlaχ прил
реднего возраста лахтак,meč'tal сущ
резать,əmpχe- п1
резать по кусочкам,əmpχet- п1
резать по частям,əmpχet- п1
резать траву,əzzatɬ- неп
резинка,rezinkaʔ сущ
река,kiw сущ; kij сущ с.
река Авача,Сuaču собств
река Большая,Кɨkʂa Ю. собств
справа,Кupxč собств
река вскрывается,əlp- неп
река Пирожникова,Мəzilx собств
головном уборе,inweniŋ сущ
ремень,liɬ сущ; sit сущ
ремень нарты,uttuwalŋən сущ; č'rustənəŋ сущ
к копыльям,insxuʔŋenəŋ сущ
на нарте,omteʔnəm сущ
корзины,lewtenəŋ сущ
ремешок,inwinom сущ
ремешок на обуви,nənsnom сущ
копылье к полозу нарты,anpenəm сущ
копыльями,isxuŋenəŋ сущ
ремонтировать,ɬinmiti- п1
ремонтировать бат,ənxiʔŋiŋ- п1
ремонтом заниматься,otxpaʔɬ- неп
репа,repaʔ сущ
репутация,alwas сущ
ресница,laɬč сущ
республика,respublikaʔ сущ
речная коса,tosx сущ
речное устье,anχsχ сущ
речной,kiwʔin прил
речной рачок,akawʔač сущ
речушка,kiwwečχ сущ
речь,krweɬxatas сущ; lanom сущ
ловушкой,lak'eɬčaʔnəŋ сущ
ловушки запора,lapelŋən сущ
ржаветь,qeɬt'e- неп
ржавчина,qeɬt'əm сущ
рисовать,resowaʔɬ- неп
рисунок,kelekel сущ
робеть,toŋrepɬ- неп; tormaʔɬ- неп
робкий,kskozolaχ прил; kxteʔan прил
ровдуга,retem сущ
ровдуга белая,č'iraqt'əl сущ
ровдужные штаны,kwasqel сущ
ровно,pslaŋsq нареч
ровный,pslaŋslaχ прил
рог,ənteŋ сущ
рогатый,ntelan прил
роговой,ntenʔan прил
рогожа,čirel сущ
род,tinuwal сущ
"род перил, чтобы удержать груз",warʐin сущ
родители,isxeʔn сущ
родить,itne- неп; p'ete- неп; ənsχt- п1
родиться,axs- неп; əlxp- неп
родник,kʎučečχ сущ
родня,tinutin сущ
родственник,tinutin сущ
рожать,awza- неп; awzazo- неп; awzat- неп; rowa- неп с.
роза,kwezem сущ; qwezem сущ
ронять,nikɬfaʔɬ- неп; nətɬke- неп; ənkɬfa- п1
роса,leʔlŭm сущ
росомаха,tqmiŋ сущ
россомаха,leqes сущ
рот,qesχ сущ
рот открывать,fačza- неп
рубашка,urwaq сущ
рубашки деталь,časχ сущ
рубить,əmpχe- п1; ənt'ɬ- п1
рубить дрова,əɲč'sxenə- п1
рубить дрова поперек,ulwi- неп
рубль,rubl' сущ
ругать,ɬiɲɬeruŋ- п1; tajŋa- п1; čχmal- п1
ругаться,čχmal- неп
ругаться друг с другом,loŋel- п2
ружейный чехол,oʎester сущ
ружье,č'it сущ
ружье заряжать,tχnu- п1
рука,xk'ič сущ
рукав,splaŋ сущ
рукава засучить,t'esla- п2
рукавица,ʎeləŋ сущ
рукавицы,liʔl сущ
руками на себя тянуть,txnetzo- п1
руками трогать,təllat- п1
руководитель,tnakol сущ
рукой гладить,alat- п1
рукоятка,upsχ сущ
рукоятка ножа,kujnəŋ сущ
рукоятка скребка,qənʔt'sx сущ
руку протягивать,ənamčetə- п1
руль,čisχ сущ
рунный ход рыбы,ijazo- неп
русло ручья,simtwen сущ
русоволосый,ttexč сущ
русский,ačəbre сущ; aʔwačχ прил; ttexč сущ
ручей,kiwwečχ сущ
ручка,k'ek'elečχ сущ; qujwən сущ; ručkeʔ сущ
ручной,kɬenk'eŋʔin прил
ручонка,k'ek'elečχ сущ
рыба,axtnom сущ; wesalkalŋin сущ; qanas сущ; nəɲč сущ с.; č'uwaj сущ; č'uč'u сущ; əɲč сущ
рыба без икры,aasad Ю. сущ
рыба вареная,p'axp'aŋ сущ
"рыба вареная, чуть подвяленная",sewaʔn сущ
рыба дохлая,itqlač сущ
рыба кислая,filwil сущ
рыба красная,ksus сущ
рыба соленая,soʎona сущ
рыба умирающая,itqlaʔaj сущ
"рыба, вяленая целиком",notan сущ
"рыба, похожая на змею",qanas сущ
рыбак,əlwentzolan сущ;
рыбачить,əlantzo- неп с.; əlantzokes инф неп с.; əɲčsχmo- неп; elwentzo- неп
рыбий плавник,taʔŋorečχ сущ; tewəč сущ
рыбий хребет,k'awač сущ; k'awač сущ
рыбная котлета,teɬnoj сущ
рыбная ловля,qilqilwin сущ
рыбная мука,porʂaʔ сущ
рыбного запора деталь,toʔses сущ
рыбного запора часть,totk's сущ
рыбный запор,pewlumč сущ
рыболовная морда,č'ruč' сущ
рыболовная сеть,xiliŋ сущ
рыболовного забора деталь,toŋoɬ сущ
рыболовное устройство,č'ruč' сущ; eč'enom сущ
рыбу гнать в запор,imzateʔɬe- п1
рыбу ловить,xilwiŋt- неп; əzzaʔno- неп
рыбу нанизывать,nezeʔɬ- неп
рыбу разделывать,axt- п1; xt- п1
рыбы всплеск,injinom сущ
рыбы крошки,čimsxqaʔn сущ
рыбы самец,k'qliknen сущ
рыбы самка,qaʔaq сущ
рыбы спинка,koč'χ сущ
рыбы ход,ijazo- неп
рыбье брюшко,k'ink'in сущ
рыбье мясо,eraʔer сущ
рыбье мясо без костей,tχisum сущ
рыбьи молоки,lqilqeʔn сущ
рыбьий пупочке,k'iɲɲačχ сущ
рыбья голова,lič сущ с.; xewlič сущ
рыбья голова кислая,kɬčleč сущ
рыбья икра,ŋilŋil сущ
рыбья кожа,xinsx сущ; ənsx сущ с.
рыбья пластинка,aʔnoŋ сущ
рыбья слизь,əɲɬk'əm сущ
рыбья требуха,č'imq'eʔn сущ
рыбья чешуя,melk'al сущ
рыгать,isəʔŋɬ- неп
рыдать,seŋɬ- неп; seŋɬzo- неп; fajxa- неп
рыжий,č'ač'a- А; č'ač'alaχ прил
рыть,satu- неп; satu- п1
рыться,amesat- п1; txela- неп
рыхлый,itemlaχ прил
рычать,č'iŋstel- неп
рябина,qelmen сущ с.; mč'emč' сущ; əmč'nowal сущ; əmč'nom сущ
рядом,k'alek нареч
с близкого места,tmalxʔal нареч
с горки кататься,tχlitzu- неп
с давних пор,it'e союз
с дороги сворачивать,pɬe- неп
с другой стороны,χoxkməŋk нареч
с левой стороны,sič'eŋanxʔal нареч
с опозданием,amsaneq нареч
с толку сбивать,ənmač'a- п1
с умом,ntitiŋsq нареч
сад,əɲɬaɬnom сущ
садбище,ɬawəlnom сущ
садиться,izuse- неп; ɬawul- неп; ɬawulet- неп; čkɬ- неп; čkɬit- неп
саднить,kst'i- неп
саднить сильно,kst'awan- неп
сажа,črečrəm сущ
сажать,əɲɬaɬ- п1; əɲɬaʔɬ- п1
сажей,iperwe- неп
сало свинное,salaʔ сущ
сам,wne мест
сам я,ʷkmilwin мест
самец,iχɬχ сущ; qliqen сущ
самец рыбы,k'qliknen сущ
самец рыбы зверя,qliqen сущ
самец соболя,qəlɬxim сущ
самка,ɬxejwak сущ
самка дикого оленя,ɬxejwak сущ
самка рыбы,qaʔaq сущ; ŋewin сущ с.
самка соболя,ŋikɬxim сущ
самолет,samoʎot сущ
самострел,los сущ
самый,samoj прил
санитарный,sanitarnoj прил
сапоги,sapogaʔn сущ
сарай,saraj сущ
сарай запирать,χəlqepet- п1
сарана,iɲč'- неп; qŏsqŏs сущ; toɬ- неп; temeq сущ; efk сущ
сахар,čaqar сущ
сахарница,saxarajoɬxen сущ
сбивать с толку,ənmač'a- п1
сбиваться с пути,čxillit- неп
сбор урожая,enaxɬ- неп
сбрасывать перья,ič'e- неп
сбросить семя,feʔne- неп
сварить,is- п1; kokazo- п1 с.; kuke- п1
сварить наскоро,ənfajwazo- п1
сват,χumisət сущ
свататься,swataʔɬ- неп
свая,xqoč сущ
свежий,swezoj прил
свекла,sweklaʔ сущ
свекор,aɲɬen сущ
сверкание,iɬwerčem сущ
сверкать,iɬwirču- неп; peʔŋst- неп
свернуться клубком,kowos- неп
сверху,xanxʔal нареч
сверху по течению,xaɲčxʔal нареч
свет,atxʔatx сущ
свет погасить,əntxun- п1
светать,atxsa- неп; txsa- неп
светильник,piŋč сущ
светильника фитиль,paŋɬaʔnoŋ сущ
светить,aʔnfs- неп; aʔnfsat- неп; peʔŋst- неп
светить,azlaʔɬ- неп; aʔnfs- неп; aʔnfsat- неп; peʔŋst- неп
светлеть,atx- неп
светло,atxq нареч
светлый,atxlaχ прил
световой день,qɬχəlmaqol сущ
свизза,paχelilan сущ
свиное сало,salaʔ сущ
свистеть,fifzel- неп; ʷfjepsa- неп
свистулька,fifzel сущ
свистулька из тальника,tiqrel сущ
свистулька свистеть,fifzel- неп
свобода,swoboda сущ
свободный,swobodnoj прил
сворачивать,ksota- неп
сворачивать с дороги,pɬe- неп
связка сырого кипрея,nenpənt сущ
запора,xəzweʔɬəs сущ
связывать,omte- п1
святой,azlaχ прил; swatoj прил
святой дух Святой,Фčifč сущ
священник,poxpx сущ
сгибать,ʷnaɬ- п1; naɬala- п1; naɬet- п1; tqenset- п1
сгибать многократно,naɬet- п1
сгибать сильно,tqensen- п1
сгибать слегка,naɬala- п1
сгибаться,ʷnaɬ- неп; naɬkas инф неп; nasxenɬ- неп; txap- неп
сглазить,iɬčkuwijimiŋ iɬ- п1; čxl- п1
сгребать,noneʔɬ- неп
сгребать в кучу,non- п1
сгружать,neŋɬel- п1; neŋɬeletə- п1
"сдавливать долго, сильно",əmptqesxen- п1
сдваивать ткань,pkat- п1
сдвигать,ənsč'ella- п1; ənsč'ellala- п1
сделать,sk- п1; skawata- п1
сделать длиннее,niwls- п1
сделать нечто плохое,aŋqan ənt- п1
сделать ниже,nezoq'a- п1
сделать тоньше,ənkčoɲŋa- п1
сделать хромым,natkawa- п1
север,ajwaŋ сущ
северный,ajwanʔan прил
северный ветер,jemmejwin сущ
сегодня,sowodɲi нареч
Седанка (река),Эsxɬin собств
Седанка новая,Эsxɬin собств
Седанка старая,Эsxɬin собств
седеть,atxk'emame- неп; atxɬ- неп
седлать,setl- п1
седло,setlaʔ сущ
седловина,izuwezəm сущ
седой,atxk'em сущ
сейчас,časit нареч
секрет,ameɬas сущ
село,atnom сущ; tičsχ сущ с.
сельница,ʷqepx сущ
сельский,atnoʔan прил
сельсовет,seɬsowet сущ
семена,semaʔn сущ
семь,etuktunuk числ
семья,kŋalos сущ
сени,nutɬun сущ; čiɲeq сущ
сено,senaʔ сущ
сенокос,senokos сущ
сентябрь,sеntяbr сущ
сера ушная,iɬč'sq сущ
сердитый,kχaqaɲɬʔin прил
сердить,ənχaqaŋe- п1
сердиться,ɬŋawu- неп; sluni- неп с.; χaqaɲɬ- неп; χiʔni- неп; čən- неп
сердиться долго,χiʔnist- неп
сердиться сильно,χaqanʔe- неп; χaqeni- неп с.
сердце,lŋəlŋuč сущ с.; liŋč сущ; nutečχ сущ
сердцевина кипрея,kič'ɬx сущ
круглой формой,p'əlχӑŋ сущ
объели черви,qamč'al сущ
сердцевину кипрея собирать,xəɬk'omte- п1
середина,kӑnnenk нареч
"середина, центр",kӑnnen сущ
серовато-бурый цвет пепла,piŋlaχ прил
серо-коричневый,pənlaχ прил
серый,pənlaχ прил
серьги,juqeʔn сущ
серьёзно,imts нареч
сестра,lilixɬ сущ; sillatumx сущ
сестра старшая,ɲaɲa сущ
бисером,saʔʎa сущ
сеть,xiliŋ сущ
сеть вязать,ilwil- п1
сеять,sejaʔɬ- неп
сжатая кисть,ʷtəɬq сущ
сжигать,ənk'wat- п1; ənluʔɬ- п1
сзади,zalk нареч с.; salk нареч; salxʔal нареч
сиденье,ɬawəlnom сущ
сидеть,ɬa- неп
сила,q'efq'ef сущ
силок,xap сущ; enat сущ
сильно,mel нареч; esqčaq нареч; esčaq нареч
сильный,q'ewlaχ прил
симпатию испытывать,kəmŋa- неп
синеть,fɬa- неп
синеть от мороза,əza- неп
синий,siɲoj прил; fɬlaχ прил
синица,mč'ekal сущ
синяк,ktwenom сущ; kerenom сущ
сказать,χene- неп
сказка,amŋel сущ
сказки рассказывать,amŋel- неп
скакать галопом,χisi- неп; č'etxla- неп
скала,eʔle сущ
скамейка,ɬanom сущ
скандалить,tajŋa- неп
скапливаться,qoɲeŋstəl- неп
скверно,qiwe нареч
скверный,qiwelaχ прил
сквозить о ветре,tskəllə- неп
сквозняк,tskəl сущ
сквозняком продувать,əɲtskəll- п1
складывать,izula- п1; əzzut- п1
снятую с него шкуру,ratoŋ- п1
склеивать,netməɲɬ- п1; əntmiɬet- п1
склон,eʔle сущ
склонный обманывать,temjuŋlaχ прил
скоблить,fek'aʔɬ- неп; fek'e- п1; fek'ezo- п1
выделкой шкур,pleʔɬ- неп
скоблить шкуры при выделке,pl- п1
скользить,iɬχap'es- неп
скользкий,iɬχlaχ прил
скользко,iɬχq нареч
скользящая лыжа,leŋəm сущ
сколько,laʔlq нареч; laʔlsxeʔn нареч; enqemɬ нареч
скорбь,əmč'əmč' сущ
скорлупа,konsχkwal сущ
скоро,xaɬč нареч; xaɬč нареч
скрадывать,eč'ewi- неп; eč'ewi- п1
скребка рукоятка,qənʔt'sx сущ
скребок,awut сущ; insxul сущ; qaɲčsχ сущ
скребок для выделки шкур,awut сущ; qaɲčsχ сущ
кипрея,sesχal сущ
скрестить,lotmil- п1
скрипеть,č'onkɬ- неп
скрывать,txŋat- п1
скрываться из глаз,ameɬat- неп
скрываться многократно,ameɬatat- неп
скрытно,ameɬaŋ нареч; fiɲwe нареч; xiʔnere нареч
скрытный,ameɬaŋlaχ прил
скупиться,fiŋiʔɬ- неп; feŋeɬ- неп
скупой,fiŋilaχ прил
скучать,makoʔɬ- неп; tejweŋ- неп; tejweŋlaχ прил; čxun- неп
скучно,"kɬmako, kɬtejeŋeʔn нареч"
скучный,makoʔlaχ прил
слaвa,aŋja сущ
слабый,ɲexiq'ewlaχ прил; fəlwelaχ прил
слава,alwas сущ
славить,nalwaw- п1
славный,k'alwaʔan прил
сладкая трава,č'anx сущ
сладкий,č'ewezlaχ прил
сладким сделать,ənč'iwiss- п1
слева,sič'eŋank нареч; sič'eŋanxʔal нареч; sič'eŋanxʔal нареч
слегка,uʎučq нареч
след,ɬkzanom сущ; tiwinom сущ
след лыж,leŋazonoŋ сущ
следить,ɬinɬkze- п1; čkzt- п1
следовать за кем-либо сзади,saɬte- неп
следом за собой вести,ənsaɬt- п1
следы,skɬazonaʔn сущ
следы ударов,txɬnom сущ
слеза,məzməz сущ; siŋzil сущ
слезать,ip- неп; nas- неп
слезать с лошади,ipit- неп
слепая кишка,sjajolŋən сущ
слизняк,lwəlf сущ
слизь,əɲɬk'əm сущ
слишком,amamkaq нареч
словарь,slowar сущ
слово,ɬerwetes сущ; χenes сущ
сложить руки и ноги вместе,χamtzi- неп
сломать,ənk'ol- п1; əɲčaqol- п1
сломаться,k'ol- неп
слуга,xalnčaχ сущ
служащая опорой для крыши,ananəmč сущ
служащая подпоркой,usk'əlŋin сущ
служение,əlʔiɬnom сущ
слух,esxpat сущ
случай,sxlos сущ
случаться,sxlu- неп
слушать,ilfs- п1
слушаться,ilfs- неп
слыть,alwa- неп
слышать,ilfs- неп
слышаться,ɬuzwen- неп
слышимый,tepəlaχ прил;
тэпәл,le- неп
слюна,iɬxeŋ сущ
слякотить,čxk'ete- неп
слякоть,čxk'etx сущ
либо,anza- п1
смазывать жиром,nisč- п1; χamɬχzo- п1
смелый,smeloj прил
смерть,esxnom сущ
смех,ɬiŋɬiŋ сущ
смешанный лес,lilum сущ
смешивать,liʔlu- п1; ɬiʔɬ- п1; tχel- п1; əɲč'lims- п1
смешиваться,towel- неп; č'lims- неп
смешить,inɬŋin- неп; ɬinɬŋizi- п1; ənɬŋizi- п1; ənɬŋe- п2
смешной,ɬəŋlaχ прил
смеяться,ɬiŋ iɬ- п1; ɬŋizi- неп; ɬŋizekes неп с.; ɬŋezextɬ- неп
смеяться над,ɬiŋweju iɬ- п1
смиренный,k'ilfsʔin прил
смоковница,smokwaʔanuʔ сущ
сморкаться,lewa- неп; lewaʔn axɬ- п1; əllaʔn axɬ- п1 с.
сморкаться постоянно,lewasxen- неп
смородина,mroʔrot сущ
смотреть,laxɬ- неп; əʎčku- п1 с.; əɬčku- неп; əɬčku- п1; ənsli- п1
щель,twestew- неп
смотреть вдаль,penkeču- неп
смотреть долго,ɬčkut- п1
"смотреть, как едят",aʔntxɬ- неп
смотреться в зеркало,zerklačo- неп
смущаться,ŋeskla- неп
смягчать,nəlts- п1
смягчаться,əltse- неп
снабжать,ɬinsisχeŋɬ- п1
снаружи,tepəl нареч; əzzank нареч
снаружи (где),kalfsk нареч
снаружи (откуда),kalfsxeʔal нареч
снаряжать,ɬinsisχeŋɬ- п1
снаряжать кого-либо в дорогу,ɬinŋaziɬ- п1
сначала,perwoj прил
снашиваться,ɬf- неп
снег (лежащий на земле),ʷqəllal сущ
снег идет,tχa- неп
снег идет немного,tχala- неп
снег свежевыпавший,paŋopaŋ сущ
снегирь,kresečχ сущ
снегом заносить,fjalte- неп; fjaltet- неп
снегом мести,fjal- неп
снегопад,tӑχtӑχ сущ
снижаться,izuqa- неп
снизу,tnŭm- А; tnŭmxʔal нареч
снимать,aχɬ- п1
снимать кору луб с березы,uluʔɬ- неп
снимать луб кору,k'ulu- п1
снимать часть груза,neŋɬel- п1
"снимать что-либо, кору, луб",ulu- п1
сниться,retla- неп
снова,tenaq нареч
сновидение,retret сущ
сноп кипрея,nenpənt сущ
собак подманить,alwolte- п1
ние,k'ileχezum сущ
собака,ʷqosχ сущ; ʷqsχaj сущ; qsχoʔɲɬ сущ
собака злая,č'iŋzik сущ
собака-самка,ŋiqsχ сущ
собаку клеймить,eʎtqa- п1
собачонка,ʷqsχaj сущ
собирание ягод,betok сущ
собирать,ɬinŋaziɬ- п1;
приливом дары моря,erwenet- неп
собирать кедровые шишки,kuneŋt- неп
собирать кипрей,niŋt- неп
собирать кипрей в посуду,alxpaʔɬ- неп
собирать кого-либо в дорогу,ɬintewuŋ- п1
дорогу,sisxeŋɬ- п1
шишки кедрача,qtesfɬ- неп
собирать налоги,jasaqaʔɬ- неп
собирать ягоду,zeʔɬ- неп; qti- неп
собирать ягоды,qtesfɬ- неп
собирать яйца морских птиц,elwetɬ- неп
собираться,qziɬ- неп; qoɲeŋstəl- неп; quneŋe- неп; quɲeŋe- неп; omakat- неп с.
собираться в дорогу,sisxeŋɬ- неп
собираться в путь,qziɬet- неп
собираться вместе,iwu- неп
собираться долго,tewu- неп
собираться с силами,q'efče- неп
соблазн,kəmŋes сущ
соблазнять,kəmŋa- неп; ənkəmŋa- п1; ənkəmŋaʔɬ- неп
соболь,ɬximɬxim сущ
соболь-самец,qəlɬxim сущ
соболь-самка,ŋikɬxim сущ
собрание,sobraniе сущ; enčelnom сущ ɬinŋaziɬ- п1; non- п1; noneʔɬ- неп; niwu- п1 с.; newne- п1; newneʔɬ- неп; čil- п2; ənwen- п1; ənqoɲeŋewe- п1; ənquɲiŋi- п1; enwel- неп
собирать в дорогу,sisxeŋɬ- п1
собственно пятно ржавчины,qeɬt'əm сущ
сова,ipəlak'ič сущ
совать,teɬ- п1
совершить измену,ɬwaɬte- неп
советовать,əlʔiɬ- п1
совка,č'exč сущ
совместно,č'eʔɬ- п1
совокупляться,nist- неп; nist- п1; nestzo- неп; nestzo- п1
совсем,soxsem нареч
совсем мало,kɬuʎu нареч
согласный,soglasnoj прил
соглашаться,əlfča- неп
согревать,noma- п1; nomsa- п1; ənčoʔɬ- п1
согревать,əɲčni- п1
содержать,txəʔɲɬ- п1
созвездие Большой Медведицы,Ӄaɲčsχ сущ
создавая марево,atərwate- неп
сознаваться,ike- неп
сознание терять,tpla- неп
созревать,is- неп
созывать,oč'et- п1
сок березовый,iʔmeməm сущ
сокол,rewlan сущ
сократить,nikəms- п1
соленая рыба,soʎona сущ
соленый,ik'sxulaχ прил; solkoj прил; soʎonoj прил
солить,soʎaʔɬ- неп; soʎaʔɬ- п1
солнечный,klačʔin прил
солнце,lač сущ
солнце садится,čkɬit- неп
солнце садиться,čkɬ- неп
солнышко,laččaχ сущ
солонка,soʎajoɬxen сущ
соль,soʎ сущ
сомневаться,kojos- неп
сон,retret сущ
сообща,quɲeŋ нареч
сообщение,ampelač сущ
сопка,ŋejŋe сущ
сопля,lewaŋ сущ; əllaŋ сущ
Сопочное,Сusx собств
соревноваться,wəl- неп
сосать,əlχe- неп; əlχe- п1
сосок,ʎuʎučχ сущ
сосок мужской груди,lalxaŋ сущ
состязаться,wəl- неп
сосуд,tjotjəm сущ; eʔjoɬxen сущ
четырехугольный,akinsx сущ
сосуд для воды,eʔjoɬxen сущ
сосулька,ketwoɬčaχ сущ
сохнуть,k'axsa- неп; k'isxɬ- неп
сохранить,ənfteʔɬ- п1
сохранять,ŋiti- п1
союзка (при меховой обуви),lelut сущ
спальня,ʷŋekɬnom сущ
спасать,spasaɬ- неп; spasaʔɬ- неп; ənspasaʔɬ- п1
спасибо,qeč'eɬ нареч
Спаситель,spasaʔɬkaɬχ сущ
спать,jilqet- неп с.; jəlqe- неп с.; ʷŋikɬ- неп; ʷŋiksini- неп
спать хотеть,tsqe- неп
спелый,k'isknen прил
спереди,kɬfəɲčk нареч
спеть,čaqaʔɬ- неп
для привязвания собак,k'ileχezum сущ
спешить,čefi- неп
спилить,piliʔɬ- неп
спина,k'aač сущ с.; k'awač сущ
спинка рыбы,koč'χ сущ; seqeseq сущ
спинная жила,pilwit сущ
спинная часть оленьей туши,sitɬp- п1
спинной плавник,tənzasχ сущ
спички,spičkaʔn сущ
сплавлять,twi- п1
сплошной,prostoj прил
сплющивать,əmptqe- п1
спокойно,tkarwela нареч
спокойный,iseŋlaχ прил
спор,akumanom сущ; anɬmanom сущ
спорить,sporeʔɬ- неп
спорт,sport сущ
спортивный,sportiwnoj прил
способ вылова рыбы,marik сущ
спотыкаться,kup- неп
спотыкаться многократно,kupsxen- неп
справедливый,kliɬʔin прил
спрашивать,qɬiɲɬlu- п1; ɬiɲɬlu- п1; ɬeɲɬlozo- п1; pəŋlo- неп с.
спрашивать разрешения,spŋel- неп
спрашивать(ся),spŋel- неп
спрыгивать,stk'ɬat- неп; st'kɬ- неп; st'kɬate- неп
спрятать,namzŋa- п1
спуск с обрыва,nasnom сущ
спускать,tnas- п1
спускать шкуру,xinsxtla- п1
спускаться,nas- неп
сражаться,lut'ɬxe- неп
сразу,qnaŋ нареч; qneŋ нареч с.
среди,kӑnnenk нареч
средний,kӑnnenʔan прил; kӑnnʔin прил
ссора,lot'ɬxes сущ
ссориться,loŋel- п2; čχmal- неп
ставить,əntχzuʔɬ- п1; əɲčxl- п1
ставить вертикально,əntχzuʔɬ- п1
ставить заплаты,atɬemk'a- п1; otxp- п1
ставить заплаты на одежду,azəmze- п1
обуви,atɬemk'aʔɬ- неп
ставить капканы,ančxlet- п1
ставить на стол,əɲčew- п1
ставить силки,ančxlet- п1
стадо,ŋele сущ
стадо охранять,xčoɬ- п1
стадо пасти,xčoɬ- п1
сталкивать,tniɬ- п1
становиться,le- неп; letet- неп
становиться в строй,tekej- неп
становиться короче,ikəmse- неп
становиться мягким,filk'si- неп
становиться сильнее,q'efse- неп
становиться тонким,kčoɲse- неп
лыжи,naɬaʔniŋ сущ
стараться,staraʔɬ- неп
старая (пожилая) женщина,ktxloteknen сущ
"старая, поношенная кухлянка",jerwač сущ
средний кулик,t'ot'ot' сущ; petowal сущ urilwič сущ
срезать,əlpə- п1
срезать шерсть,əlpə- п1
срочный,sročnoj прил
срубить,əmpχe- п1
срывать,lek'a- п1
срываться,tsӑl- неп
срываться (сверху),kzi- неп
стареть,d'ed'ute- неп; tχloŋ le- неп; ənpə- неп
стареть (о женщине),babute- неп
старик,d'ed'učχ сущ; χeqač сущ
любовник,kaɬalxp сущ
старинный,it'enan прил; qaʔt'anan прил
стариться,weqate- неп с.; txlote- неп; tχloŋ le- неп; χeqate- неп
староста,starostaʔ сущ
старуха,babučχ сущ; txlom сущ
старушка,txločχ сущ
старшая сестра,ɲaɲa сущ
старший,kɬfəɲčʔan прил; starsoj прил
