слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
иӈиӈи,,,,междометие,,,,,"вскрик боли, ср. русск. ой, ай, ох",,,,,,,
ип-,,,,глагол,непереходный,эпкас,,,"причаливать (к берегу), выходить на берег (из лодки), слезать (с лошади, с нарты); переливать через край",ипит-,,,,,,
ипԓӄэʔԓ-,,,,глагол,непереходный,эпԓӄэʔԓкас,,,брызгаться (шлепая рукой по воде или веслом при неумелой гребле),,,,,,,
ипԓӽ,,,,существительное,,,пԓӽаʔн,,"товарищ, друг; приятель",,,,,,,
ипԓӽновал,,,,существительное,,,,,"дружина, отряд, череда",,,,,,,
ипԓӽном,,,,существительное,,,,,дружба,,,,,,,
ипсту-,,,,глагол,переходный1,эпстос,,,"1) брызгать, брызгать на кого-либо, обрызгивать кого-либо; 2) поливать (цветы) ",ипстут-,ипстуʔԓ-,,,,,
ипстут-,,,,глагол,переходный1,эпстотэс,,,"обрызгивать кого-либо, что-либо целиком, тщательно (цветы и т.п.)",,,,,,,
ипстуʔԓ-,,,,глагол,непереходный,эпстоʔԓкас,,,"брызгать(ся), брызгаться (руками по воде, также разбрызгивать воду изо рта)",,,,,,,
ипстуʔн,,,,существительное,,,,,брызги,,,,,,,
ипәлакʼич,,,,существительное,,,,,"сова, ястреб",,,,,,,
ипәԓӄэ-,,,,глагол,переходный1,эпәԓӄэс,,,полоскать что-либо в воде,,,,,,,
ипәԓӄэ-,,,,глагол,непереходный,эпәԓӄэкас,,,всплескивать,ипԓӄэʔԓ-,,,,,,
ипэрвэ-,,,,глагол,непереходный,эпэрвэкас,,,"покрыться копотью, сажей",,,,,,,
ипэсэсэӄәл,,,,существительное,,,ипэсэсэӄәʔл,,гриб-дождевик,,,,,,,
ипэʔн,,,,существительное,,,,,тонкие корни кедрового стланика используемые в качестве веревок,,,,,,,
ирвиԓчу-,,,,глагол,непереходный,эрвэԓчокас,,,"блестеть, сверкать, белеть (снег, лед, озеро, даже железка на земле и т.п.)",,,,,,,
ирвутам,,,,существительное,,,ирвутаʔн,,острый осколок оленьей кости (голени),,,,,,,
ирʔирич,,мухта,,существительное,,,-,,опушка мужского капора,,,,,,,
ис-,,,,глагол,переходный1,эсэс,,,"обварить, ошпарить кого-либо, что либо, сварить, довести до готовности",,,,,,,
ис-,,,,глагол,непереходный,эскас,,,"1) обвариться, ошпариться обжечься; поспеть (о пище); 2) созревать, поспевать",әнсԓ-,,,,,,
исиӈзи-,,,,глагол,переходный1,эсэӈзэс,,,"не обращать внимания на кого-либо; утихомирить кого-либо, заставить замолчать",,,,,,,
исиӈзи-,,,,глагол,непереходный,эсэӈзэкас,,,"замолчать, груб. заткнуться",,,,,,,
иствэ-,,,,глагол,непереходный,иствэкас,,,"болеть, ныть (ноги от холода, мышщы от работы)",,,,,,,
истэл-,,истыл-,,глагол,непереходный,эстэлкас,,,"плясать, танцевать",,,,,,,
исх,,,,существительное,,,исхэʔн,,отец,,,,,,,
исх-,,,,глагол,непереходный,эсхкас,,,умирать,исхэʔн,исхэʔсх,эсхном,,,,
исхси-,,,,глагол,непереходный,эсхсэкас,,,"прохладиться, выйти на воздух, холодать (погода)",,,,,,,
исху-,,,,глагол,непереходный,эсхокас,,,"подыматься, всходить (на гору)",,,,,,,
исхуӈэнәӈ,,,,существительное,,,,,"ремешок, скрепляющий переднюю дугу нарты с копыльями",,,,,,,
исхәмтсэ-,,,,глагол,переходный1,,исхәмтсэс,,затупить что-либо,,,,,,,
исхәмтсэ-,,,,глагол,непереходный,,исхәмтсэкас,,затупиться,,,,,,,
исхэки иԓ-,,,,глагол,переходный1,,исхэки иԓэс,,признавать кого-либо отцом,,,,,,,
исхэмтлаӽ,,исхәмтлаӽ,,прилагательное,,,,,"тупой (о ноже, топоре)",,,,,,,
-,,,,существительное,,,исхэʔн,,родители,,,,,,,
исхэʔсх,,,,существительное,,,,,"тесть, отчим",,,,,,,
исӽ,,,,глагол,непереходный,,,,умирать,,,,,,,
исәʔӈԓ-,,,,глагол,непереходный,эсәʔӈԓкас,,,рыгать,,,,,,,
исэӈ-,,,,наречие; прилагательное,,,,,"тихий (о звуке), тихо; незаметный, незаметно; потихоньку; спокойный; молчаливый",исэӈӄ,исэӈлаӽ,,,,,
исэӈӄ,,,,наречие,,,,,тихо; незаметно; потихоньку,,,,,,,
исэӈлаӽ,,,,прилагательное,,,,,"тихий (о звуке), молчаливый, незаметный, спокойный",,,,,,,
ит-,,,,глагол,непереходный,эткас,,,"быть, существовать, жить",итном,итәнмән,,,,,
иткэʔԓ-,,,,глагол,непереходный,иткэʔԓкас,,,"жить, быть, существовать",,,,,,,
итӄлач,,,,существительное,,,,,дохлая рыба,,,,,,,
итӄлаʔай,,,,существительное,,,,,умирающая рыба,,,,,,,
итԓӄр-,,,,глагол,переходный1,этԓӄрэс,,,пороть одежду,,,,,,,
итԓӄэ-,,,,глагол,непереходный,этԓӄэкас,,,"ушибиться, удариться (непроизвольно)",итԓӄэсхэн-,нэтԓӄэʔԓ-,,,,,
итном,,,,существительное,,,,,"поселок, место, где живут",,,,,,,
итнэ-,,,,глагол,непереходный,этнэкас,,,"высыпаться (откуда-либо), родить, рассыпаться",,,,,,,
итсхуʔн-,,,,глагол,непереходный,этсхоʔнкас,,,"ходить наощупь, натыкаться, путаться под ногами",,,,,,,
итунг,,,,существительное,,,,,"идол (ы), изготавливаемые из дерева во время праздника очищения грехов; устанавливались в юрте над очагом",,,,,,,
итӽ,,,,местоимение,,,,,они; их,тԓвин,тхиʔинк,тхэʔанкэ,,,,
итӽил-,,итӽʔил-,,глагол,непереходный,этӽэлкас,,,гостить,этӽэлном,,,,,,
иты-,,,,глагол,непереходный,этэкас,,,"уходить, пропадать, деваться куда-либо",этэном,,,,,,
иты-,,итэ-,,глагол,переходный1,этэс,,,"велеть, заставлять, приказывать; разрешать, позволять",итыт-,ӄаʔм иты-,,,,,
итыт-,,,,глагол,переходный1,этэтэс,,,"заставлять кого-либо, многократно, обычно или дистрибутивно",,,,,,,
итәнмән,,,,существительное,,,итәнмәʔн,,"ительмен, тот, кто существует",,,,,,,
итэвом,,,,существительное,,,итэвэʔн,,временная сушилка,,,,,,,
итэмлаӽ,,итэмљаӽ,,прилагательное,,,,,"шероховатый, «некаткий» снег",,,,,,,
итʼԓ-,,,,глагол,непереходный,итʼԓкас,,,расколоться,,,,,,,
итʼԓӄрэ-,,,,глагол,переходный1,итʼԓӄрэс,,,"распарывать (одежду, сеть), отпарывать что-либо",,,,,,,
итʼэ,,,,союз,,,,,"1) когда; когда-то; 2) давно; прежде, раньше, с давних пор",ӄаʔм итʼэ,итʼэљ,,,,,
итʼэмԓ-,,,,глагол,непереходный,этʼэмԓкас,,,давиться пищей,,,,,,,
итʼэнан,,"итʼэʔан, итʼэнован",,прилагательное,,,,,"давний, старинный, древний; прежний",,,,,,,
итʼэнанԓханŏӈ,,,,наречие,,,,,по-старому,,,,,,,
итʼэнован,,,,прилагательное,,,,,"старый, давний",,,,,,,
итʼэнсчаӄ,,,,наречие,,,,,иногда,,,,,,,
итʼэʔан,,,,прилагательное,,,,,"старый, давний",,,,,,,
ифа,,,,наречие,,,,,наконец; только что,,,,,,,
ифалаӽ,,,,прилагательное,,,,,новый,,,,,,,
ифԓӽ,,,,существительное,,,ифԓӽэʔн,,"мужчина, самец",,,,,,,
ифԓӽʔин,,,,прилагательное,,,,,мужской,,,,,,,
ихԓту,,ихлту,,наречие,,,,,"в прошлом году, в прошлом сезоне (охотничьем, рыболовном)",,,,,,,
ихԓтуʔин,,,,прилагательное,,,,,прошлогодний,,,,,,,
иӽԓӽ,,,,существительное,,,иӽԓӽэʔн,,"мужчина, самец (существо мужского пола)",,,,,,,
иӽԓӽʔин,,ифԓӽʔин,,прилагательное,,,,,мужской,,,,,,,
ич-,,,,глагол,непереходный,ичкас,,,падать (на что-либо и ушибаться при этом),,,,,,,
ичхлаӽ,,,,прилагательное,,,,,"крепкий, прочный",,,,,,,
ичʼ,,,,существительное,,,ичʼэʔн,,береза,ичʼал,ичʼʔин,,,,,
ичʼкʼэлаӽ,,,,прилагательное,,,,,грязный,,,,,,,
ичʼәмч,,,,существительное,,,,,березовый подлесок,,,,,,,
ичʼэчʼвум,,,,существительное,,,ичʼэчʼвэʔн,,растение «золотой корень»,,,,,,,
иэрэд,,,,существительное,,,,,лебяжье коренье; съедобный корень водяного (речного) растения,,,,,,,
иʔ,,,,существительное,,,-,,вода,эйанк,эйанкэ,,,,,
иʔахчаӽ,,,,существительное,,,,,водичка - водка,,,,,,,
иʔиԓун,,ииԓун,,существительное,,,иʔиԓуʔн,,берег,,,,,,,
иʔл,,,,существительное,,,ед. элваләӈ,,уши,,,,,,,
иʔлакэт-,,,,глагол,непереходный,эʔлакэткас,,,"ощущать позывы к тошноте, рвоте",,,,,,,
иʔлуз-,,,,глагол,переходный1,эʔлозэс,,,шуметь у кого-либо в ушах,,,,,,,
иʔлэвэнŏӈ,,иʔлэвэнŏм,,существительное,,,иʔлэвэнэʔн,,"шест (для езды на лодке), шест (для плавания на лодке вверх по течению)",,,,,,,
иʔлэвэнтэ-,,,,глагол,непереходный,иʔлэвэнтэкас,,,толкаться шестами (при езде на лодке),,,,,,,
иʔԓуӄ,,,,существительное,,,иʔԓуӄэʔн,,"непослушный, неслух (о ребенке)",,,,,,,
иʔмэмәм,,,,существительное,,,-,,березовый сок,,,,,,,
иʔнаӄ,,,,существительное,,,иʔнаӄэʔн,,горностай,,,,,,,
иʔнум,,,,существительное,,,иʔнумиʔн,,"глоток воды (столько сколько, помещается в рот)",,,,,,,
иʔнум-,,,,глагол,непереходный,эʔномкас,,,набрать воды в рот,,,,,,,
иʔнухт-,,иʔнофт-,,глагол,переходный1,эʔнохтэс,,,"отнимать, отбирать",,,,,,,
иʔнухт-,,иʔнофт-,,глагол,непереходный,эʔнохткас,,,"отнимать, отбирать у кого-либо",,,,,,,
иʔњԓәм,,"иʔњԓун, иʔиԓун",,существительное,,,иʔњԓэʔн,,"1) край (воды), высокий берег (реки, моря); 2) плоский берег",,,,,,,
иʔэӄэн,,,,существительное,,,,,водянка (болезнь),,,,,,,
иʔэпэл,,,,существительное,,,иʔэпэʔл,,мозоль (водяная),,,,,,,
йаалӈән,,,,существительное,,,,,луна,,,,,,,
йавна-,,,,глагол,переходный1,йавнас,,,встречать кого-либо (выходить навстречу),,,,,,,
йавна-,,,,глагол,непереходный,йавнакэс,,,встречаться,,,,,,,
йайалӄ,,йайаԓӄ,,существительное,,,йайалӄаʔн,,"чердак, помещение под крышей",,,,,,,
йайаӈ,,йайэм,,существительное,,,йайаʔн,,"облако, туча",,,,,,,
йайар,,,,существительное,,,йайараʔн,,бубен (корякский по утв. большинства информантов),,,,,,,
йайарчо-,,,,глагол,непереходный,йайарчокас,,,бить в бубен,,,,,,,
йайпэʔн,,,,существительное,,,ед. йайпәлӈән,,копыта,,,,,,,
йаӄ,,,,частица,,,,,"частица, примерно соотв. «же», самостоятельно не употребляется - только в сочетаниях",,,,,,,
йаӄйаӄ,,,,существительное,,,йаӄйаӄаʔн,,чайка,,,,,,,
йалат-,,,,глагол,непереходный,йалаткас,,,кочевать,,,,,,,
йалватном,,,,существительное,,,йалватноʔн,,место кочевки,,,,,,,
йалвэт-,,"йалат-, йалэт-",,глагол,непереходный,йалвэткас,,,"кочевать, переезжать на другое место",йалватном,йалвэтат-,әнсиалвэт-,,,,
йалвэтат-,,,,глагол,непереходный,йалвэтаткас,,,кочевать многократно или дистрибутивно,,,,,,,
йалвэтатном,,,,существительное,,,,,кочевье,,,,,,,
йаӈсалан,,,,существительное,,,йаӈсалаʔн,,взрослый медведь-самец (редк.),,,,,,,
йасаӄаʔԓ-,,,,глагол,непереходный,йасаӄаʔԓкас,,,собирать налоги,,,,,,,
йасной,,,,прилагательное,,,,,ясный,,,,,,,
йат-,,,,глагол,непереходный,йаткас,,,"хмуриться (о погоде), заволакиваться облаками",,,,,,,
йаәм,,,,союз,,,,,"потому что, так как",,,,,,,
йаʔәлвәчӽ,,йаалӈән,,существительное,,,йаʔәлвәʔњч,,луна,,,,,,,
йилӄэт-,,,,глагол,непереходный,йэлӄэткэс,,,спать,,,,,,,
йимсх,,,,существительное,,,,,женщина,,,,,,,
йова-,,,,глагол,переходный1,йовас,,,встречать кого-либо,,,,,,,
йовай,,йовайов,,существительное,,,йоваʔн,,гагара,,,,,,,
йох,,,,междометие,,,,,непроизвольное восклицание боли,,,,,,,
йубкэʔ,,,,существительное,,,йубкэʔн,,юбка,,,,,,,
йуӄсэʔн,,,,существительное,,,ед. йоӄсалӈин,,лыжные крепления (из ремешков),,,,,,,
йуӄэʔн,,,,существительное,,,ед. йоӄалӈин,,серьги,,,,,,,
йуӄʼ,,,,существительное,,,йуӄʼэʔн,,березовая кора идущая в пищу,,,,,,,
йуӈйучӽ,,,,существительное,,,йуӈйуʔњч,,кит (маленький),,,,,,,
йуӈәйу,,,,существительное,,,,,кит,,,,,,,
йуртэʔ,,,,существительное,,,йуртэʔн,,"юрта (< русск.) землянка, устраиваемая для жилья и под склад на месте рыбалки и охоты",,,,,,,
йуфала,,йухала,,существительное,,,йуфалаʔн,,"юкола для варки; подсушеная рыба, которая может долго храниться, затем ее варят (= нос кукэкнэн)",,,,,,,
йухала,,,,существительное,,,йухалаʔн,,юкола для варки,,,,,,,
йәлӄэ-,,йэлӄэ-,,глагол,непереходный,йәлӄэкэс,,,спать,,,,,,,
йэздыԓ-,,,,глагол,непереходный,йэздыԓкэс,,,ездить (< русск.),,,,,,,
йэлэй,,,,существительное,,,,,елей,,,,,,,
йэмалк,,йэмәлӄ,,существительное,,,,,тундра,,,,,,,
йэммэйвин,,,,существительное,,,-,,северный ветер,,,,,,,
йэпх,,,,союз,,,,,хотя,,,,,,,
йэрвач,,,,существительное,,,,,"старая, поношенная кухлянка",,,,,,,
ка-,,,,глагол,непереходный,какас,,,"1) попадаться, ловиться; 2) заикаться",әнкаʔԓ-,,,,,,
каваљо,,,,существительное,,,каваљоʔн,,"кухлянка теплая, ординарная, рабочая, шерстью внутрь, сверху красится ольхой",,,,,,,
кавирвиӈ,,,,существительное,,,кавирвэʔн,,"прорастающий и цветущий весной «мышиный амбарчик» с кимчигой, запасенной и не съеденной мышами",,,,,,,
кавэлаӽ,,,,прилагательное,,,,,"хрупкий, ломкий",,,,,,,
кӑз-,,,,наречие; прилагательное,,,,,"тяжелый, трудный",кӑзлаӽ,каскас,касӄ,касса-,,,
кӑзварван,,,,существительное,,,-,,тяжесть,,,,,,,
каздой,,,,прилагательное,,,,,каждый,,,,,,,
кӑзлаӽ,,казлаӽ,,прилагательное,,,,,"тяжелый, трудный",,,,,,,
кайкчь,,,,существительное,,,,,рак (заболевание),,,,,,,
какач,,,,существительное,,,какаʔн,,кедровка (птица),,,,,,,
какф,,,,существительное,,,какфаʔн,,"недозрелая ягода, перен. бельмо на глазу",,,,,,,
калаус,,,,существительное,,,,,продовольственный мешок,,,,,,,
калӈакэрчаӽ,,,,существительное,,,,,детский комбинезон,,,,,,,
калфс-,,,,наречие; прилагательное,,,,,"снаружи, внешне, наружу",калфск,калфскэ,калфсхэʔал,,,,
калфск,,,,наречие,,,,,"снаружи (где), внешне",,,,,,,
калфскэ,,,,наречие,,,,,наружу (куда),,,,,,,
калфсхэʔал,,,,наречие,,,,,снаружи (откуда),,,,,,,
калыӈ,,кʼаач,,существительное,,,,,тыльная сторона рукавицы,,,,,,,
каљитка,,,,существительное,,,каљиткаʔн,,калитка,,,,,,,
каԓалхп,,,,существительное,,,каԓалхпэʔн,,"старик, бывший дружок или любовник автора речи (мужчина в этом случае говорит о своей бывшей любовнице, подружке)",,,,,,,
каԓалхпэ-,,,,глагол,непереходный,каԓалхпэкас,,,потерять зубы (от старости),,,,,,,
каԓимто-,,,,глагол,непереходный,каԓимтокас,,,грызть орехи,,,,,,,
каԓимтоӈ,,,,существительное,,,каԓимтоʔн,,ядро кедрового ореха,,,,,,,
каԓф,,,,существительное,,,каԓфэʔн,,стрела,,,,,,,
каԓх,,каԓф,,существительное,,,каԓхаʔн,,стрела,,,,,,,
каԓхԓ-,,,,глагол,непереходный,каԓхԓкас,,,делать стрелы,,,,,,,
каԓчфсатэ-,,,,глагол,непереходный,каԓчфсатэкас,,,"обледенеть, покрыться льдом (дорога, человек, любой предмет), замерзнуть (река, море, пруд, озеро)",,,,,,,
каԓчфсәм,,,,существительное,,,каԓчфсэʔн,,"лед, точнее: льдина, кусок льда; также: ледяное поле, лед на земле",,,,,,,
Каманхӈавт,,,,имя собственное,,,,,"жен. имя собственное, фольк.; женщина-миска (ср. ӄамаӈа); одно из имен лисе-жены, которую в финале сажают в наказание на горячую миску, наполненную кипящим жиром",,,,,,,
камараӄовай,,,,существительное,,,камараӄоваʔн,,штаны из оленьей шкуры со срезанной шерстью,,,,,,,
кӑмлон,,кәмлон,,существительное,,,кӑмлоʔн,,"внук, внучка",,,,,,,
камэчӽ,,,,существительное,,,камаʔњч,,мисочка,,,,,,,
кӑн-,,кӑн-,,наречие; прилагательное,,,,,"посреди, в середину, из середины, средний",кӑннэнк,кӑннэнкэ,кӑннэнхʔал,кӑннʔин,,,
канк,,,,существительное,,,,,"зима, зимой",,,,,,,
канк-,,,,глагол,непереходный,канккас,,,"зимовать, перезимовать",,,,,,,
канкԓном,,,,существительное,,,канкԓноʔн,,зимовье,,,,,,,
канԓӈавт,,,,существительное,,,,,землянка,,,,,,,
кӑннэн,,,,существительное,,,-,,"середина, центр",кӑннэнʔан,,,,,,
кӑннэнʔан,,,,прилагательное,,,,,"средний, центральный",,,,,,,
кӑннʔин,,кәннʔин,,прилагательное,,,,,средний,,,,,,,
канса,,,,существительное,,,кансаʔн,,курительная трубка,,,,,,,
канса-,,,,глагол,непереходный,кансакас,,,курить,,,,,,,
кансайоԓхэн,,,,существительное,,,,,портсигар,,,,,,,
кансољат-,,,,глагол,непереходный,,,,накурить,,,,,,,
кансх,,,,существительное,,,кансхаʔн,,утка-чернядь,,,,,,,
-,,,,существительное,,,кањикулаʔн,,каникулы,,,,,,,
каӈԓ-,,,,глагол,непереходный,каӈԓкас,,,"1) делать запасы, запасаться чем-л.; 2) просить",каӈԓном,әнкаӈԓ-,,,,,
каӈԓата-,,,,глагол,непереходный,каӈԓатакас,,,пойти попросить,,,,,,,
каӈԓном,,,,существительное,,,каӈԓноʔн,,"амбар, хранилище запасов",,,,,,,
капкан,,,,существительное,,,капканаʔн,,капкан,,,,,,,
капуста,,,,существительное,,,капустаʔн,,капуста,,,,,,,
караԓка,,,,существительное,,,караԓкаʔн,,"пугало, бука, которым пугают детей",,,,,,,
-,,,,существительное,,,картофэљаʔн,,картофель,,,,,,,
каскас,,,,существительное,,,касказэʔн,,тяжесть (редк.),,,,,,,
касӄ,,,,наречие,,,,,"тяжело, трудно",,,,,,,
˚касоӈ,,,,существительное,,,касоʔн,,"бок, сторона",,,,,,,
касса-,,,,глагол,непереходный,кассакас,,,отяжелеть (редк.),,,,,,,
˚касф,,,,существительное,,,касфаʔн,,топор,,,,,,,
касӽ,,касх,,числительное,,,,,два,,,,,,,
касэӈʔан,,,,существительное,,,,,боковой камус зимней обуви,,,,,,,
катер,,,,существительное,,,катераʔн,,катер,,,,,,,
каткат,,,,существительное,,,-,,наст,,,,,,,
катԓ-,,,,глагол,непереходный,катԓкас,,,"настить, подмерзать",,,,,,,
катх,,,,существительное,,,катхаʔн,,"высушенные стебли борщевика, масса, готовая к употреблению",,,,,,,
катхзэʔн,,,,существительное,,,ед. катхзэм,,"мелкие паразиты (похожие на золу), поедающие юколу в балаганах",,,,,,,
кафк,,,,существительное,,,кафкаʔн,,"мушиный плевок, точнее вероятно, личинки червей, портящих мясо, которое вывешивают для провяливания",,,,,,,
кафкԓ-,,,,глагол,непереходный,кафкԓкас,,,"(о мухах), усыпать личинками мясо, юколу и т.п., сырую животную птицу",,,,,,,
ках ках,,,,междометие,,,,,направо (команда собакам),,,,,,,
кахках,,,,существительное,,,,,жара,,,,,,,
кахтан,,,,существительное,,,кахтаʔн,,весна,,,,,,,
качʼх,,качʼэӈ,,существительное,,,-,,медвежий нутряной жир,,,,,,,
каш тужад,,,,числительное,,,,,двадцать,,,,,,,
каʔ-,,,,глагол,непереходный,каʔкас,,,"попадаться (в капкан, ловушку)",әнкаʔԓ-,,,,,,
каʔмәԓхап,,,,существительное,,,каʔмәԓхапэʔн,,мышеловка (домашняя),,,,,,,
кбарабанэʔԓʔан,,,,существительное,,,кбарабанэʔԓʔаʔн,,барабанщик,,,,,,,
квасӄэл,,,,существительное,,,,,ровдужные штаны,,,,,,,
кваʔан,,,,прилагательное,,,,,каменистый,,,,,,,
квәлвўм,,квәлвәм,,существительное,,,квәлвэʔн,,ошейник (для собаки),,,,,,,
квэ-,,,,глагол,непереходный,квэкас,,,крошиться (непроизв.),әнквэ-,,,,,,
квэзэм,,,,существительное,,,квэзэʔн,,"шиповник (куст), роза",,,,,,,
квэсхӄэʔн,,,,существительное,,,ед. квэсхӄ,,крошки пищи (чаще мн.ч.),,,,,,,
-,,,,существительное,,,квэсӽӄаʔн,,"мелочь (мелкие предметы, крошки, деньги)",,,,,,,
квэтатʼан,,,,прилагательное,,,,,1) прилежный; 2) работящий,,,,,,,
кза,,,,местоимение,,,,,"ты, тебя",,,,,,,
кзи-,,,,глагол,непереходный,кзэкас,,,"срываться (сверху), падать",,,,,,,
кзихч,,,,существительное,,,,,"верхняя часть капюшона, прикрывающая темень",,,,,,,
кзтаԓ-,,,,глагол,переходный1,кзэстаԓэс,,,"околдовывать, ошаманивать кого-либо",,,,,,,
кзу-,,,,глагол,переходный1,кзос,,,"ждать, подождать",,,,,,,
кзу-,,,,глагол,непереходный,кзокас,,,ждать,,,,,,,
˚кзумх,,,,существительное,,,˚кзумхэʔн,,шмель,,,,,,,
кзәмплэʔин,,,,существительное,,,кзәмплэʔиʔн,,продавец,,,,,,,
кзэԓ-,,,,глагол,непереходный,кзэԓкас,,,"оставаться (дома, когда все уйдут), отставать",әнкзэԓ-,,,,,,
кив,,кий,,существительное,,,кивэʔн,,река,,,,,,,
киввэчӽ,,,,существительное,,,киввэʔњч,,"речушка, небольшая речка, ручей",,,,,,,
кивʔин,,,,прилагательное,,,,,речной,,,,,,,
кий,,,,существительное,,,кийэʔн,,река,,,,,,,
˚килвин,,,,местоимение,,,,,ты сам (а),,,,,,,
˚килвинэтʼԓ,,,,местоимение,,,,,ты в одиночку,,,,,,,
килвит-,,кәлвэт-,,глагол,переходный1,кэлвэтэс,,,запрягать,,,,,,,
килвит-,,кәлвэт-,,глагол,непереходный,кэлвэткас,,,запрягать,,,,,,,
килвул,,,,существительное,,,килвулэʔн,,"черт, дьявол, злой дух (ср. Кана)",,,,,,,
килх,,,,существительное,,,килхэʔн,,белая береза,,общ. килхал,,,,,
килхал,,кәлхаал,,существительное,,,-,,"березняк, заросли берёзы",,,,,,,
килхԓ,,,,наречие,,,,,неужели (вопросительное слово),,,,,,,
килыкил,,,,существительное,,,,,"килыкил (вид кушанья из ягод, картофеля, жира или мозгов, жира или ягод, рыбы, жира)",,,,,,,
киԓви,,,,наречие,,,,,"вообще, так (вводное слово)",,,,,,,
кин-ким,,,,прилагательное,,,,,каждый,,,,,,,
кинар,,,,существительное,,,кинараʔн,,"деталь нарты: ремень, которым копыл крепится к пологу",,,,,,,
кинзиин,,энжит,,прилагательное,,,,,"гористый, холмистый",,,,,,,
кинэнлытʼин,,,,существительное,,,,,"вставка в рукавице, прикрывающая часть ладони в области безымянного пальца и мизинца",,,,,,,
кист,,,,существительное,,,кистэʔн,,"дом, жилище",кистай,кистаӄол,кистэчӽ,кистэʔин,,,
кистай,,,,существительное,,,кистайʔ,,"домишко (пренебрежительно), плохой, старый, полуразвалившийся дом",,,,,,,
кистаӄол,,,,существительное,,,кистаӄоʔл,,"старый, заброшенный дом (где никто не живёт)",,,,,,,
кистэчӽ,,,,существительное,,,кистэʔњч,,маленький домик,,,,,,,
кистэʔин,,,,прилагательное,,,,,домашний,,,,,,,
кисхт,,,,существительное,,,кисхсэʔн,,дёрн (неск. кусков),,,,,,,
китхԓ,,,,существительное,,,китхԓэʔн,,"ветла, ива",,,,,,,
китхԓал,,,,существительное,,,-,,"заросли ветлы, ивы",,,,,,,
кифсх,,,,существительное,,,кифсхэʔн,,дядя (родственник),,,,,,,
кихплэʔԓ-,,,,глагол,непереходный,кихплэʔԓкас,,,потерять зубы (от старости),,,,,,,
кич,,,,существительное,,,кичэʔн,,лестница,,,,,,,
кичʼԓх,,,,существительное,,,,,"сердцевина кипрея, уложенная в продолговатую форму",,,,,,,
˚кичʼэ,,кичʼ,,существительное,,,˚кичʼэʔн,,бык (олень-самец),,,,,,,
киʔмткэм,,,,существительное,,,,,хрящевая часть рыбьей головы,,,,,,,
кйу-,,,,глагол,непереходный,киокас,,,"щеголять (без негативного оттенка: держать себя в чистоте, порядке)",,,,,,,
кйэп-,,,,глагол,непереходный,кйэпкас,,,"упираться ногами, руками во что-л., на что-л. спиной, напрягать силы, упираясь что-л. сдвигать",,,,,,,
ккаӈԓʔан,,,,прилагательное,,,,,нищий,,,,,,,
ккоказоʔан,,,,существительное,,,ккоказоʔаʔн,,повар,,,,,,,
ккәмӈэкнэн,,,,прилагательное,,,,,нарядный,,,,,,,
˚кӄэʔныкнэн,,,,прилагательное,,,,,усталый,,,,,,,
кламԓ,,клымԓ,,существительное,,,кламԓэʔн,,муха,,,,,,,
класс,,,,существительное,,,классаʔн,,класс,,,,,,,
клачʔин,,,,прилагательное,,,,,солнечный,,,,,,,
клфтэʔан,,,,прилагательное,,,,,возлюбленный,,,,,,,
клыԓʔин,,,,прилагательное,,,,,"верный (справедливый), праведный",,,,,,,
клыԓʔин,,,,существительное,,,,,праведник,,,,,,,
кләнк иԓ-,,,,глагол,переходный1,кләнк эԓэс,,,заманивать кого-либо,,,,,,,
клэлх,,,,существительное,,,клэлхэʔн,,"друг, приятель, подружка, любовник",,,,,,,
клэлхчэʔԓ-,,,,глагол,непереходный,клэлхчэʔԓкас,,,"дружить, также заниматься любовью",,,,,,,
клэхвэнс,,,,наречие,,,,,"ну да, неужели (межд. выражающее удивление)",,,,,,,
кљимэлӈән,,,,существительное,,,кљимэʔн,,почки,,,,,,,
кљука,,кљукэ,,существительное,,,кљукаʔн,,кочерга (заимств. русск.),,,,,,,
кљуква,,,,существительное,,,,,клюква,,,,,,,
кључэчӽ,,,,существительное,,,кључэʔњч,,родник,,,,,,,
кљчлатэ-,,,,глагол,непереходный,кљчлатэкас,,,отдавать кислым (на вкус),,,,,,,
кљэп,,,,существительное,,,,,хлеб,,,,,,,
кљэчэʔԓʔин,,,,существительное,,,кљэчэʔԓʔиʔн,,врач,,,,,,,
кԓа-,,,,глагол,непереходный,кԓакас,,,"тонуть, утонуть",әнкԓа-,әнкԓаԓ-,,,,,
кԓалаʔн,,,,существительное,,,,,лет,,,,,,,
кԓалэʔан,,,,существительное,,,кԓалэʔаʔн,,"1) ходящий, ходячий (человек и животное) (< ԓалэ-); 2) некто ходящий (человек и животное); 3) животное",,,,,,,
кԓанк,,,,наречие,,,,,недавно (в течение дня),,,,,,,
˚кԓийаки,,,,наречие,,,,,(очень) страшно,,,,,,,
кԓиӈӄсӽки,,,,наречие,,,,,"больно, очень больно",,,,,,,
кԓӄʼэваӈаʔн,,,,прилагательное,,,,,всесильный,,,,,,,
"кԓмако, кԓтэйэӈэʔн",,,,наречие,,,,,"скучно, тоскливо",,,,,,,
кԓмаԓʔан,,,,прилагательное,,,,,верующий,,,,,,,
кԓӈачэза,,,,наречие,,,,,очень дымно (в помещении),,,,,,,
