Ительменское слово,Русское слово
ŋikɬxim сущ,самка соболя
samoʎot сущ,самолет
los сущ,самострел
samoj прил,самый
sanitarnoj прил,санитарный
sapogaʔn сущ,сапоги
saraj сущ,сарай
χəlqepet- п1,сарай запирать
iɲč'- неп,сарана
qŏsqŏs сущ,сарана
toɬ- неп,сарана
temeq сущ,сарана
efk сущ,сарана
čaqar сущ,сахар
saxarajoɬxen сущ,сахарница
ənmač'a- п1,сбивать с толку
čxillit- неп,сбиваться с пути
enaxɬ- неп,сбор урожая
ič'e- неп,сбрасывать перья
feʔne- неп,сбросить семя
is- п1,сварить
kokazo- п1 с. ,сварить
kuke- п1,сварить
ənfajwazo- п1,сварить наскоро
χumisət сущ,сват
swataʔɬ- неп,свататься
xqoč сущ,свая
swezoj прил,свежий
sweklaʔ сущ,свекла
aɲɬen сущ,свекор
iɬwerčem сущ,сверкание
iɬwirču- неп,сверкать
peʔŋst- неп,сверкать
kowos- неп,свернуться клубком
xanxʔal нареч,сверху
xaɲčxʔal нареч,сверху по течению
atxʔatx сущ,свет
əntxun- п1,свет погасить
atxsa- неп,светать
txsa- неп,светать
piŋč сущ,светильник
paŋɬaʔnoŋ сущ,светильника фитиль
aʔnfs- неп,светить
aʔnfsat- неп,светить
peʔŋst- неп,светить
azlaʔɬ- неп,светить
aʔnfs- неп,светить
aʔnfsat- неп,светить
peʔŋst- неп,светить
atx- неп,светлеть
atxq нареч,светло
atxlaχ прил,светлый
qɬχəlmaqol сущ,световой день
paχelilan сущ,свизза
salaʔ сущ,свиное сало
fifzel- неп,свистеть
ʷfjepsa- неп,свистеть
fifzel сущ,свистулька
tiqrel сущ,свистулька из тальника
fifzel- неп,свистулька свистеть
swoboda сущ,свобода
swobodnoj прил,свободный
ksota- неп,сворачивать
pɬe- неп,сворачивать с дороги
nenpənt сущ,связка сырого кипрея
xəzweʔɬəs сущ,запора
omte- п1,связывать
azlaχ прил,святой
swatoj прил,святой
Фčifč сущ,святой дух Святой
poxpx сущ,священник
ʷnaɬ- п1,сгибать
naɬala- п1,сгибать
naɬet- п1,сгибать
tqenset- п1,сгибать
naɬet- п1,сгибать многократно
tqensen- п1,сгибать сильно
naɬala- п1,сгибать слегка
ʷnaɬ- неп,сгибаться
naɬkas инф неп,сгибаться
nasxenɬ- неп,сгибаться
txap- неп,сгибаться
iɬčkuwijimiŋ iɬ- п1,сглазить
čxl- п1,сглазить
noneʔɬ- неп,сгребать
non- п1,сгребать в кучу
neŋɬel- п1,сгружать
neŋɬeletə- п1,сгружать
əmptqesxen- п1,"сдавливать долго, сильно"
pkat- п1,сдваивать ткань
ənsč'ella- п1,сдвигать
ənsč'ellala- п1,сдвигать
sk- п1,сделать
skawata- п1,сделать
niwls- п1,сделать длиннее
aŋqan ənt- п1,сделать нечто плохое
nezoq'a- п1,сделать ниже
ənkčoɲŋa- п1,сделать тоньше
natkawa- п1,сделать хромым
ajwaŋ сущ,север
ajwanʔan прил,северный
jemmejwin сущ,северный ветер
sowodɲi нареч,сегодня
Эsxɬin собств,Седанка (река)
Эsxɬin собств,Седанка новая
Эsxɬin собств,Седанка старая
atxk'emame- неп,седеть
atxɬ- неп,седеть
setl- п1,седлать
setlaʔ сущ,седло
izuwezəm сущ,седловина
atxk'em сущ,седой
časit нареч,сейчас
ameɬas сущ,секрет
atnom сущ,село
tičsχ сущ с. ,село
ʷqepx сущ,сельница
atnoʔan прил,сельский
seɬsowet сущ,сельсовет
semaʔn сущ,семена
etuktunuk числ,семь
kŋalos сущ,семья
nutɬun сущ,сени
čiɲeq сущ,сени
senaʔ сущ,сено
senokos сущ,сенокос
sеntяbr сущ,сентябрь
iɬč'sq сущ,сера ушная
kχaqaɲɬʔin прил,сердитый
ənχaqaŋe- п1,сердить
ɬŋawu- неп,сердиться
sluni- неп с. ,сердиться
χaqaɲɬ- неп,сердиться
χiʔni- неп,сердиться
čən- неп,сердиться
χiʔnist- неп,сердиться долго
χaqanʔe- неп,сердиться сильно
χaqeni- неп с. ,сердиться сильно
lŋəlŋuč сущ с. ,сердце
liŋč сущ,сердце
nutečχ сущ,сердце
kič'ɬx сущ,сердцевина кипрея
p'əlχӑŋ сущ,круглой формой
qamč'al сущ,объели черви
xəɬk'omte- п1,сердцевину кипрея собирать
kӑnnenk нареч,середина
kӑnnen сущ,"середина, центр"
piŋlaχ прил,серовато-бурый цвет пепла
pənlaχ прил,серо-коричневый
pənlaχ прил,серый
juqeʔn сущ,серьги
imts нареч,серьёзно
lilixɬ сущ,сестра
sillatumx сущ,сестра
ɲaɲa сущ,сестра старшая
saʔʎa сущ,бисером
xiliŋ сущ,сеть
ilwil- п1,сеть вязать
sejaʔɬ- неп,сеять
ʷtəɬq сущ,сжатая кисть
ənk'wat- п1,сжигать
ənluʔɬ- п1,сжигать
zalk нареч с. ,сзади
salk нареч,сзади
salxʔal нареч,сзади
ɬawəlnom сущ,сиденье
ɬa- неп,сидеть
q'efq'ef сущ,сила
xap сущ,силок
enat сущ,силок
mel нареч,сильно
esqčaq нареч,сильно
esčaq нареч,сильно
q'ewlaχ прил,сильный
kəmŋa- неп,симпатию испытывать
fɬa- неп,синеть
əza- неп,синеть от мороза
siɲoj прил,синий
fɬlaχ прил,синий
mč'ekal сущ,синица
ktwenom сущ,синяк
kerenom сущ,синяк
χene- неп,сказать
amŋel сущ,сказка
amŋel- неп,сказки рассказывать
χisi- неп,скакать галопом
č'etxla- неп,скакать галопом
eʔle сущ,скала
ɬanom сущ,скамейка
tajŋa- неп,скандалить
qoɲeŋstəl- неп,скапливаться
qiwe нареч,скверно
qiwelaχ прил,скверный
tskəllə- неп,сквозить о ветре
tskəl сущ,сквозняк
əɲtskəll- п1,сквозняком продувать
izula- п1,складывать
əzzut- п1,складывать
ratoŋ- п1,снятую с него шкуру
netməɲɬ- п1,склеивать
əntmiɬet- п1,склеивать
eʔle сущ,склон
temjuŋlaχ прил,склонный обманывать
fek'aʔɬ- неп,скоблить
fek'e- п1,скоблить
fek'ezo- п1,скоблить
pleʔɬ- неп,выделкой шкур
pl- п1,скоблить шкуры при выделке
iɬχap'es- неп,скользить
iɬχlaχ прил,скользкий
iɬχq нареч,скользко
leŋəm сущ,скользящая лыжа
laʔlq нареч,сколько
laʔlsxeʔn нареч,сколько
enqemɬ нареч,сколько
əmč'əmč' сущ,скорбь
konsχkwal сущ,скорлупа
xaɬč нареч,скоро
xaɬč нареч,скоро
eč'ewi- неп,скрадывать
eč'ewi- п1,скрадывать
qənʔt'sx сущ,скребка рукоятка
awut сущ,скребок
insxul сущ,скребок
qaɲčsχ сущ,скребок
awut сущ,скребок для выделки шкур
qaɲčsχ сущ,скребок для выделки шкур
sesχal сущ,кипрея
lotmil- п1,скрестить
č'onkɬ- неп,скрипеть
txŋat- п1,скрывать
ameɬat- неп,скрываться из глаз
ameɬatat- неп,скрываться многократно
ameɬaŋ нареч,скрытно
fiɲwe нареч,скрытно
xiʔnere нареч,скрытно
ameɬaŋlaχ прил,скрытный
fiŋiʔɬ- неп,скупиться
feŋeɬ- неп,скупиться
fiŋilaχ прил,скупой
makoʔɬ- неп,скучать
tejweŋ- неп,скучать
tejweŋlaχ прил,скучать
čxun- неп,скучать
"kɬmako, kɬtejeŋeʔn нареч",скучно
makoʔlaχ прил,скучный
aŋja сущ,слaвa
ɲexiq'ewlaχ прил,слабый
fəlwelaχ прил,слабый
alwas сущ,слава
nalwaw- п1,славить
k'alwaʔan прил,славный
č'anx сущ,сладкая трава
č'ewezlaχ прил,сладкий
ənč'iwiss- п1,сладким сделать
sič'eŋank нареч,слева
sič'eŋanxʔal нареч,слева
sič'eŋanxʔal нареч,слева
uʎučq нареч,слегка
ɬkzanom сущ,след
tiwinom сущ,след
leŋazonoŋ сущ,след лыж
ɬinɬkze- п1,следить
čkzt- п1,следить
saɬte- неп,следовать за кем-либо сзади
ənsaɬt- п1,следом за собой вести
skɬazonaʔn сущ,следы
txɬnom сущ,следы ударов
məzməz сущ,слеза
siŋzil сущ,слеза
ip- неп,слезать
nas- неп,слезать
ipit- неп,слезать с лошади
sjajolŋən сущ,слепая кишка
lwəlf сущ,слизняк
əɲɬk'əm сущ,слизь
amamkaq нареч,слишком
slowar сущ,словарь
ɬerwetes сущ,слово
χenes сущ,слово
χamtzi- неп,сложить руки и ноги вместе
ənk'ol- п1,сломать
əɲčaqol- п1,сломать
k'ol- неп,сломаться
xalnčaχ сущ,слуга
ananəmč сущ,служащая опорой для крыши
usk'əlŋin сущ,служащая подпоркой
əlʔiɬnom сущ,служение
esxpat сущ,слух
sxlos сущ,случай
sxlu- неп,случаться
ilfs- п1,слушать
ilfs- неп,слушаться
alwa- неп,слыть
ilfs- неп,слышать
ɬuzwen- неп,слышаться
tepəlaχ прил,слышимый
le- неп,тэпәл
iɬxeŋ сущ,слюна
čxk'ete- неп,слякотить
čxk'etx сущ,слякоть
anza- п1,либо
nisč- п1,смазывать жиром
χamɬχzo- п1,смазывать жиром
smeloj прил,смелый
esxnom сущ,смерть
ɬiŋɬiŋ сущ,смех
lilum сущ,смешанный лес
liʔlu- п1,смешивать
ɬiʔɬ- п1,смешивать
tχel- п1,смешивать
əɲč'lims- п1,смешивать
towel- неп,смешиваться
č'lims- неп,смешиваться
inɬŋin- неп,смешить
ɬinɬŋizi- п1,смешить
ənɬŋizi- п1,смешить
ənɬŋe- п2,смешить
ɬəŋlaχ прил,смешной
ɬiŋ iɬ- п1,смеяться
ɬŋizi- неп,смеяться
ɬŋizekes неп с. ,смеяться
ɬŋezextɬ- неп,смеяться
ɬiŋweju iɬ- п1,смеяться над
k'ilfsʔin прил,смиренный
smokwaʔanuʔ сущ,смоковница
lewa- неп,сморкаться
lewaʔn axɬ- п1,сморкаться
əllaʔn axɬ- п1 с. ,сморкаться
lewasxen- неп,сморкаться постоянно
mroʔrot сущ,смородина
laxɬ- неп,смотреть
əʎčku- п1 с. ,смотреть
əɬčku- неп,смотреть
əɬčku- п1,смотреть
ənsli- п1,смотреть
twestew- неп,щель
penkeču- неп,смотреть вдаль
ɬčkut- п1,смотреть долго
aʔntxɬ- неп,"смотреть, как едят"
zerklačo- неп,смотреться в зеркало
ŋeskla- неп,смущаться
nəlts- п1,смягчать
əltse- неп,смягчаться
ɬinsisχeŋɬ- п1,снабжать
tepəl нареч,снаружи
əzzank нареч,снаружи
kalfsk нареч,снаружи (где)
kalfsxeʔal нареч,снаружи (откуда)
ɬinsisχeŋɬ- п1,снаряжать
ɬinŋaziɬ- п1,снаряжать кого-либо в дорогу
perwoj прил,сначала
ɬf- неп,снашиваться
ʷqəllal сущ,снег (лежащий на земле)
tχa- неп,снег идет
tχala- неп,снег идет немного
paŋopaŋ сущ,снег свежевыпавший
kresečχ сущ,снегирь
fjalte- неп,снегом заносить
fjaltet- неп,снегом заносить
fjal- неп,снегом мести
tӑχtӑχ сущ,снегопад
izuqa- неп,снижаться
tnŭm- А,снизу
tnŭmxʔal нареч,снизу
aχɬ- п1,снимать
uluʔɬ- неп,снимать кору луб с березы
k'ulu- п1,снимать луб кору
neŋɬel- п1,снимать часть груза
ulu- п1,"снимать что-либо, кору, луб"
retla- неп,сниться
tenaq нареч,снова
retret сущ,сновидение
nenpənt сущ,сноп кипрея
alwolte- п1,собак подманить
k'ileχezum сущ,ние
ʷqosχ сущ,собака
ʷqsχaj сущ,собака
qsχoʔɲɬ сущ,собака
č'iŋzik сущ,собака злая
ŋiqsχ сущ,собака-самка
eʎtqa- п1,собаку клеймить
ʷqsχaj сущ,собачонка
betok сущ,собирание ягод
ɬinŋaziɬ- п1,собирать
erwenet- неп,приливом дары моря
kuneŋt- неп,собирать кедровые шишки
niŋt- неп,собирать кипрей
alxpaʔɬ- неп,собирать кипрей в посуду
ɬintewuŋ- п1,собирать кого-либо в дорогу
sisxeŋɬ- п1,дорогу
qtesfɬ- неп,шишки кедрача
jasaqaʔɬ- неп,собирать налоги
zeʔɬ- неп,собирать ягоду
qti- неп,собирать ягоду
qtesfɬ- неп,собирать ягоды
elwetɬ- неп,собирать яйца морских птиц
qziɬ- неп,собираться
qoɲeŋstəl- неп,собираться
quneŋe- неп,собираться
quɲeŋe- неп,собираться
omakat- неп с. ,собираться
sisxeŋɬ- неп,собираться в дорогу
qziɬet- неп,собираться в путь
iwu- неп,собираться вместе
tewu- неп,собираться долго
q'efče- неп,собираться с силами
kəmŋes сущ,соблазн
kəmŋa- неп,соблазнять
ənkəmŋa- п1,соблазнять
ənkəmŋaʔɬ- неп,соблазнять
ɬximɬxim сущ,соболь
qəlɬxim сущ,соболь-самец
ŋikɬxim сущ,соболь-самка
sobraniе сущ,собрание
enčelnom сущ ɬinŋaziɬ- п1,собрание
non- п1,собрание
noneʔɬ- неп,собрание
niwu- п1 с. ,собрание
newne- п1,собрание
newneʔɬ- неп,собрание
čil- п2,собрание
ənwen- п1,собрание
ənqoɲeŋewe- п1,собрание
ənquɲiŋi- п1,собрание
enwel- неп,собрание
sisxeŋɬ- п1,собирать в дорогу
qeɬt'əm сущ,собственно пятно ржавчины
ipəlak'ič сущ,сова
teɬ- п1,совать
ɬwaɬte- неп,совершить измену
əlʔiɬ- п1,советовать
č'exč сущ,совка
č'eʔɬ- п1,совместно
nist- неп,совокупляться
nist- п1,совокупляться
nestzo- неп,совокупляться
nestzo- п1,совокупляться
soxsem нареч,совсем
kɬuʎu нареч,совсем мало
soglasnoj прил,согласный
əlfča- неп,соглашаться
noma- п1,согревать
nomsa- п1,согревать
ənčoʔɬ- п1,согревать
əɲčni- п1,согревать
txəʔɲɬ- п1,содержать
Ӄaɲčsχ сущ,созвездие Большой Медведицы
atərwate- неп,создавая марево
ike- неп,сознаваться
tpla- неп,сознание терять
is- неп,созревать
oč'et- п1,созывать
iʔmeməm сущ,сок березовый
rewlan сущ,сокол
nikəms- п1,сократить
soʎona сущ,соленая рыба
ik'sxulaχ прил,соленый
solkoj прил,соленый
soʎonoj прил,соленый
soʎaʔɬ- неп,солить
soʎaʔɬ- п1,солить
klačʔin прил,солнечный
lač сущ,солнце
čkɬit- неп,солнце садится
čkɬ- неп,солнце садиться
laččaχ сущ,солнышко
soʎajoɬxen сущ,солонка
soʎ сущ,соль
kojos- неп,сомневаться
retret сущ,сон
quɲeŋ нареч,сообща
ampelač сущ,сообщение
ŋejŋe сущ,сопка
lewaŋ сущ,сопля
əllaŋ сущ,сопля
Сusx собств,Сопочное
wəl- неп,соревноваться
əlχe- неп,сосать
əlχe- п1,сосать
ʎuʎučχ сущ,сосок
lalxaŋ сущ,сосок мужской груди
wəl- неп,состязаться
tjotjəm сущ,сосуд
eʔjoɬxen сущ,сосуд
akinsx сущ,четырехугольный
eʔjoɬxen сущ,сосуд для воды
ketwoɬčaχ сущ,сосулька
k'axsa- неп,сохнуть
k'isxɬ- неп,сохнуть
ənfteʔɬ- п1,сохранить
ŋiti- п1,сохранять
lelut сущ,союзка (при меховой обуви)
ʷŋekɬnom сущ,спальня
spasaɬ- неп,спасать
spasaʔɬ- неп,спасать
ənspasaʔɬ- п1,спасать
qeč'eɬ нареч,спасибо
spasaʔɬkaɬχ сущ,Спаситель
jilqet- неп с. ,спать
jəlqe- неп с. ,спать
ʷŋikɬ- неп,спать
ʷŋiksini- неп,спать
tsqe- неп,спать хотеть
k'isknen прил,спелый
kɬfəɲčk нареч,спереди
čaqaʔɬ- неп,спеть
k'ileχezum сущ,для привязвания собак
čefi- неп,спешить
piliʔɬ- неп,спилить
k'aač сущ с. ,спина
k'awač сущ,спина
koč'χ сущ,спинка рыбы
seqeseq сущ,спинка рыбы
pilwit сущ,спинная жила
sitɬp- п1,спинная часть оленьей туши
tənzasχ сущ,спинной плавник
spičkaʔn сущ,спички
twi- п1,сплавлять
prostoj прил,сплошной
əmptqe- п1,сплющивать
tkarwela нареч,спокойно
iseŋlaχ прил,спокойный
akumanom сущ,спор
anɬmanom сущ,спор
sporeʔɬ- неп,спорить
sport сущ,спорт
sportiwnoj прил,спортивный
marik сущ,способ вылова рыбы
kup- неп,спотыкаться
kupsxen- неп,спотыкаться многократно
kliɬʔin прил,справедливый
qɬiɲɬlu- п1,спрашивать
ɬiɲɬlu- п1,спрашивать
ɬeɲɬlozo- п1,спрашивать
pəŋlo- неп с. ,спрашивать
spŋel- неп,спрашивать разрешения
spŋel- неп,спрашивать(ся)
stk'ɬat- неп,спрыгивать
st'kɬ- неп,спрыгивать
st'kɬate- неп,спрыгивать
namzŋa- п1,спрятать
nasnom сущ,спуск с обрыва
tnas- п1,спускать
xinsxtla- п1,спускать шкуру
nas- неп,спускаться
lut'ɬxe- неп,сражаться
qnaŋ нареч,сразу
qneŋ нареч с. ,сразу
kӑnnenk нареч,среди
kӑnnenʔan прил,средний
kӑnnʔin прил,средний
lot'ɬxes сущ,ссора
loŋel- п2,ссориться
čχmal- неп,ссориться
əntχzuʔɬ- п1,ставить
əɲčxl- п1,ставить
əntχzuʔɬ- п1,ставить вертикально
atɬemk'a- п1,ставить заплаты
otxp- п1,ставить заплаты
azəmze- п1,ставить заплаты на одежду
atɬemk'aʔɬ- неп,обуви
ančxlet- п1,ставить капканы
əɲčew- п1,ставить на стол
ančxlet- п1,ставить силки
ŋele сущ,стадо
xčoɬ- п1,стадо охранять
xčoɬ- п1,стадо пасти
tniɬ- п1,сталкивать
le- неп,становиться
letet- неп,становиться
tekej- неп,становиться в строй
ikəmse- неп,становиться короче
filk'si- неп,становиться мягким
q'efse- неп,становиться сильнее
kčoɲse- неп,становиться тонким
naɬaʔniŋ сущ,лыжи
staraʔɬ- неп,стараться
ktxloteknen сущ,старая (пожилая) женщина
jerwač сущ,"старая, поношенная кухлянка"
t'ot'ot' сущ,средний кулик
petowal сущ urilwič сущ,средний кулик
əlpə- п1,срезать
əlpə- п1,срезать шерсть
sročnoj прил,срочный
əmpχe- п1,срубить
lek'a- п1,срывать
tsӑl- неп,срываться
kzi- неп,срываться (сверху)
d'ed'ute- неп,стареть
tχloŋ le- неп,стареть
ənpə- неп,стареть
babute- неп,стареть (о женщине)
d'ed'učχ сущ,старик
χeqač сущ,старик
kaɬalxp сущ,любовник
it'enan прил,старинный
qaʔt'anan прил,старинный
weqate- неп с. ,стариться
txlote- неп,стариться
tχloŋ le- неп,стариться
χeqate- неп,стариться
starostaʔ сущ,староста
babučχ сущ,старуха
txlom сущ,старуха
txločχ сущ,старушка
ɲaɲa сущ,старшая сестра
kɬfəɲčʔan прил,старший
starsoj прил,старший
aʎa сущ,старший брат
aʎa сущ,сестре
it'enowan прил с. ,старый
it'eʔan прил с. ,старый
kpetsaknan прил,старый
qaʔt'anan прил,старый
staroj прил,старый
utxlaχ прил,старый
kχeqateknen сущ,старый (пожилой) мужчина
metxlaχ сущ,старый (пожилой) человек
qleqaməŋ сущ,старый большой лахтак
χeqsas сущ,старый гусь
kistaj сущ,старый дом
eɬewjuq сущ,старый медведь
kistaqol сущ,"старый, заброшенный дом"
warnasχq сущ,старьё
uʔ сущ,ствол
upsχ сущ,стебель
konsx сущ,стебля кипрея часть
tpəll- п1,стегать
č'aptk'ol- п1,стегать
č'aptk'olsxen- п1,стегать
stekloʔ сущ,стекло
steklaʔan прил,стеклянный
aɲts- неп,стелить постель
aɲts- п1,стелить постель
stiʔɬ- п1,стелить постель
stiʔɬ- неп,стелить(ся)
aɲts- неп,стелиться
steʔnŏŋ сущ,стелька
č'uneʔn сущ,стелька из травы
č'oneʔɬ- неп,русско-ительменский индекс
utχzuʔneʔn сущ,ных горбылей тонких жердей
inenju- неп,стеречь
ŋiti- п1,стеречь
kskozolaχ прил,стеснительный
kskozoʔɬ- неп,стесняться
ŋeskla- неп с. ,стесняться
toŋrepɬ- неп,стесняться
tormaʔɬ- неп,стесняться
inləməɬ- неп,стирать
stiraʔɬ- неп,стирать
tuʔus числ,сто
upew сущ,столб
xqoč сущ,столб
nowaʔɬnom сущ,столовая
nuknen kist сущ,столовая
eŋalelet- неп,стонать
k'anxčoʔɬʔan сущ,сторож
inju- п1,сторожить
injusxen- п1,сторожить
ʷkasoŋ сущ,сторона
onmenom сущ,стоянка
tχzu- неп,стоять
tχzoʔŋe- неп,стоять прочно
krakwa сущ,стоячий баран юрты
čeqsxes сущ,страдание от голода
čeqsxe- неп,страдать
čeqsxezo- неп,страдать
nitasxen- неп,страдать душевно
səmt сущ,страна
ʷkɬijaki нареч,страшно
ʷijakilaχ прил,страшный
apɨlʐakan сущ,стрел
kaɬf сущ с. ,стрела
kaɬx сущ,стрела
tilʂkur сущ,стрела тупая
kaɬxɬ- неп,стрелы делать
ɬot- неп,стрелять
ɬot- п1,стрелять
ɬotzo- неп,стрелять
ɬotzo- п1,стрелять
fseʔɬ- неп,стремиться
atk'aʎačχ сущ,стриж
koɬxančik сущ,стриж
ənmi- п1,стричь
ənmit- п1,стричь
im- неп,стричься
ɬk'l- п1,строгать
ɬk'let- п1,строгать
mawtanŏŋ сущ,строение
sk- п1,строить
ɬtaroŋ- неп,строить дом
ɬewzi- неп,строить себе дом
ɬewzi- неп,строиться
tekej- неп,строиться
qesp сущ,стропило
fek'e- п1,стругать
kuke- неп,стряпать
kokazo- неп,стряпать в большом количестве
filk'filk'ečχ сущ,студень
itɬqesxen- неп,стукаться
ɬawəlnom сущ,стул
ɬanom сущ,стул
stul сущ,стул
anst'wolzo- неп,ступать
anst'wol- неп,ступать ногой
emeneŋ сущ,ступенька
amanəm сущ,ступенька лестницы
pok'ɬ- неп,стучать
pok'ok'a- неп,стучать
stukaɬ- неп,стучать
ənxerwerwe- п1,стучать
xirwirwi- неп,стучаться
ənskozowa- п1,стыдить
kskozoʔɬ- неп,стыдиться
kskozolaχ прил,стыдливый
kskozo межд,стыдно
eʔle сущ,сугроб
qeqč'oʔɬ- п1,судить
anqeqč'oʔɬkaɬχ сущ,судья
sojeteʔɬ- неп,суетиться
ənquɲŋ- п1,сужать
quɲse- неп,сужаться
sŋak сущ,сук
č'ənq сущ,сук
ŋiqsχ сущ,сука
suqsuq сущ,суксук
mask'el сущ,сумка
serwanŏŋ сущ,сумка
trudunuska сущ,сумка для рукоделия
namzŋa- п1,сунуть куда-то наскоро
iɬq сущ,суп
iɬqe- неп,суп есть
k'anxt'ɬŋaʔɬʔan прил,суровый
loplop сущ,сустав
ʎopačχ сущ,сустав
anzwa- п1,сустав вправлять
lek'ul сущ,сухая рыбья головка
k'isxq нареч,сухо
k'esxk'esx сущ,сухое место
tχisum сущ,сухое рыбье мясо
sitɬ сущ,сухожилие
k'izwilaχ прил,сухой
sisxeŋeč сущ,сухой паек
sχetɬeʔɬ- неп,сучить жильные нитки
č'ənq' сущ,сучок
itewom сущ,сушилка
nik'izwi- неп,сушить
ənk'izwi- п1,сушить
ənk'izwit- п1,сушить
it- неп,существовать
itkeʔɬ- неп,существовать
ənxɬk- неп,сходить
inxɬ- неп,сходить (и вернуться)
ənxɬk- неп,сходить и вернуться
d'ekowaʔɬ- неп,сходить с ума
qečilaχ прил,счастливый
aɲɬneʔɬ- неп,считать
ɬni- п1,считать
meɬqew сущ,и ягоды
χuʔŋunuŋ сущ,съедобный корень
əsk сущ,съедобный корень
k'fs- неп,съеживаться
peqse- неп,съеживаться
pesčkɬ- неп,съеживаться
əlʔe- п2,съездить
p'eʔaj сущ,сынишчонка
ins- п1,сыпать
nepeŋeʔɬ- неп,сыпать
čxiŋ- неп,сыпаться
čχeŋi- неп,сыпаться
esx сущ,сыпь
esxti- неп,сыпью покрываться
čk'ečk'ete- неп,сыреть
čk'emt сущ,сырое место
čk'ečk' сущ,сырое место
čqlaχ прил,сырой
xamɬx сущ,сырой жир
qəlk' сущ,сырой жир морского зверя
čk'ečk' сущ,сырость
čχamɬ- неп,сытно есть
wotk нареч с. ,сюда
wotkoŋ нареч с. ,сюда
tke нареч,сюда
ŋičk сущ,табак
tawak сущ,табак
proska сущ,табак жевательный
tawako- неп,табак жевать
aŋaŋč сущ,таз
ameɬaŋ нареч,тайком
fiɲwe нареч,тайком
xiʔnere нареч,тайком
ameɬas сущ,тайна
ameɬaŋlaχ прил,тайный
wonk нареч с. ,так
nwonke нареч,так
ŋonke нареч,так
jaəm союз,так как
pəl предл,так как
lem нареч,также
ŋonke нареч,также
nwonke нареч,таким образом
xejnŋin прил,такой
setzanom сущ,талия
č'aal сущ,тальник
č'ewal сущ,тальник
knin мест,твой
nweʔn мест,те
knanke мест,тебе
kəzza мест,тебя
qejuč сущ,теленок
qeŋučχ сущ,теленок
awzat- неп,телиться;
kilwiɬχ сущ,тело
uwik сущ,тело
uwikečχ сущ,тело
qeŋutɬ сущ,телятина
fiɬk'ečχ сущ,темечко
txun- неп,темнеть
txunq нареч,темно
txuntxun сущ,темнота
txunlaχ прил,темный
ktxeɬxən сущ,темя
fet'ɬfet'ɬ сущ,тень
neʔn нареч,теперь
omsa- неп,теплеть
omq нареч,тепло
omʔom сущ,тепло
omʔom сущ,теплое место
omlaχ прил,тёплый
tozazo- п1,тереть
tozazoʔɬ- неп,тереть
tozazoʔɬ- неп,тщательно
iɬ- п1,терпеть тэрпэт
člaʔna- п1,терпеть тэрпэт
č'laʔ- п1,терпеть тэрпэт
ik'sxulaχ прил,терпкий
kst'laχ прил č'eč'em сущ,терпкий
meč'- п1,терять
nikɬfaʔɬ- неп,терять
lilum сущ,тальниковый лес
χi нареч,там
χoqen нареч,там
χu нареч,там
istel- неп,танцевать
ənsli- п1,таращиться
ənsli- п1,таращиться
torelkaʔ сущ,тарелка
k'emmatzo- п2,таскать кого-либо за волосы
k'ezu- п1,тащить
stat- п1,тащить
stil- п1,тащить
txuŋ- п1 ю. ,тащить
čo- неп,таять
ktaq нареч,твёрдо
ktlaχ tozaʔɬ- прил,твёрдый
tpla- неп,терять сознание
quɲquɲ сущ,теснина
qunstel- неп,тесниться
ʷquɲq нареч,тесно
quɲquɲ сущ,тесное место
quɲquɲ сущ,теснота
ʷquɲʎaχ прил,тесный
isxeʔsx сущ,тесть
siw сущ,тетива
ɬisx сущ,тётя
wi- неп с. ,течь
fs- неп,течь
fseʔɬ- неп,течь быстро
fsist- неп,течь сильно
laχsχeʔsx сущ,теща
Сamzat собств,Тигиль
Йikiw собств,Тигильская река
Тsallan собств,Тигильская сопка
iseŋlaχ прил,тихий
iseŋq нареч,тихо
telwečq нареч,тихо
činəp сущ,ткань
pkat- п1,ткань сдваивать
nweč мест,то
enu мест с. ,то
ipɬχ сущ,товарищ
sxle союз,тогда
qunix союз,тоже
lem нареч,тоже
tnxen- п1,толкать
tniɬ- п1,толкать
tniɬ- п1,толкать
tniɬet- п1,толкать
intniʔɬ- неп,толкаться
intnesxen- неп,толкаться
qepɬko- п1,толкаться
iʔlewente- неп,толкаться шестами
ʷqepx сущ,толкуша
č'rutx сущ,толкуша
silqsilq сущ,ительменской кухни)
silqeʔɬ- неп,толкушу делать
selqe- неп,толкушу есть
toloknoʔ сущ,толокно
tala- п1,толочь
tχel- п1,толочь
enatala- неп с. ,толочь
č'amzanlasχq сущ,толпа
qatolaχ сущ,жердь
nomqen le- неп,толстеть
tirwit- неп,толстеть
qozlaχ прил,толстый
nomqen прил,толстый
tolstoj прил,толстый
χotlaχ прил,толстый
prostoj нареч,только
toɬka част,только
em нареч,только
ins нареч,только что
ifa нареч,только что
qumislaχ прил,томительный
qumisi- неп,томиться
čeqsxe- неп,томиться
kčoɲʎaχ прил,тонкий
kčoŋʎaχ прил с. ,тонкий
oʎweʎaχ прил,тонкий
kčoɲse- неп,тонким становиться
kčoɲq нареч,тонко
kɬa- неп,тонуть
ənkčoɲŋa- п1,тоньше сделать
ojelat- неп,топить
uji- неп,топить
ənkɬa- п1,топить
ənkɬaɬ- п1,топить
əɲčkɬet- п1,топить
filk'laχ прил,топкий
utxq нареч,топко
utxʔutx сущ,топкое место
filk'filk' сущ,топкое место на тундре
