Русское слово,Ительменское слово,Часть речи
рачки-паразиты,фачӽ,сущ
рачок речной,акавʔач,сущ
рваный,кчʼэссхэнкнэн,прил
рвать п1; п1; п1;,лэкʼа-; лэкʼасхэн-; счʼэз-; счʼэзэт-,п1
рвать в клочья п1;,счʼхн-; чʼэссхэн-,неп
клочья,счʼхэпэт-,п1
рваться неп; неп; пхэ-,ӄси-; лэкʼа-,
неп;,счʼэс-,неп
рваться с цепи,тэсхэн-,неп
местах,счʼэсхэн-; ичʼэчʼвум,"неп, сущ"
вид сараны,тэмэӄ,сущ
растение типа кимчиги,рәмӈэн,сущ
расти неп;,әсхтэ-; эсӽтэ-,неп
растирание анзас сущ;,анзаʔноӈ,сущ
растирать тозазо- п1;,тозазоʔԓ-,
ребенка убаюкивать,крвэԓу-,п1
ребенок сущ;,њэњэкэчӽ; пʼэч,сущ
ребенок приемный,тӽаʔԓэс,сущ
ребро,фторэл,сущ
ребята,њэʔњсхчʼэʔн,сущ
реветь неп; файха-,бэвэ-,
редиска,рэдискаʔ,сущ
редкий,эʔлаӽ,прил
редко,эʔлӄ,нареч
редко встречающийся,ԓмаʔнах,сущ
редко стоящий,эʔлаӽ,прил
реднего возраста лахтак,мэчʼтал,сущ
резать,әмпӽэ-,п1
резать по кусочкам,әмпӽэт-,п1
резать по частям,әмпӽэт-,п1
резать траву,әззатԓ-,неп
резинка,рэзинкаʔ,сущ
река вскрывается,әлп-,неп
река Пирожникова,Мәзилх,собств
головном уборе,инвэныӈ,сущ
ремень сущ; сит,лыԓ,
ремень нарты сущ;,уттувалӈән; чʼрустәнәӈ,сущ
к копыльям,инсхуʔӈэнәӈ,сущ
на нарте,омтэʔнәм,сущ
корзины,лэвтэнәӈ,сущ
ремешок на обуви,нәнсном,сущ
копылье к полозу нарты,анпэнәм,сущ
копыльями,исхуӈэнәӈ,сущ
ремонтировать,ԓинмиты-,п1
ремонтировать бат,әнхиʔӈиӈ-,п1
ремонтом заниматься,отхпаʔԓ-,неп
репа,рэпаʔ,сущ
ресница,лаԓч,сущ
республика,рэспубликаʔ,сущ
речное устье,анӽсӽ,сущ
речной,кивʔин,прил
речной рачок,акавʔач,сущ
речушка,киввэчӽ,сущ
речь сущ; ланом,крвэԓхатас,
ловушкой,лакʼэԓчаʔнәӈ,сущ
ловушки запора,лапэлӈән,сущ
ржаветь,ӄэԓтʼэ-,неп
ржавчина,ӄэԓтʼәм,сущ
рисовать,рэсоваʔԓ-,неп
рисунок,кэлэкэл,сущ
робеть неп;,тоӈрэпԓ-; тормаʔԓ-,неп
робкий прил;,кскозолаӽ; кхтэʔан,прил
ровдуга,рэтэм,сущ
ровдуга белая,чʼираӄтʼәл,сущ
ровдужные штаны,квасӄэл,сущ
ровно,пслаӈсӄ,нареч
ровный,пслаӈслаӽ,прил
рог,әнтэӈ,сущ
рогатый,нтэлан,прил
роговой,нтэнʔан,прил
рогожа,чирэл,сущ
родители,исхэʔн,сущ
родить неп; неп;,итнэ-; пʼэтэ-; әнсӽт-,п1
родиться ахс- неп;,әлхп-,неп
родник,кључэчӽ,сущ
роза сущ;,квэзэм; ӄвэзэм,сущ
ронять неп;,ныкԓфаʔԓ-; нәтԓкэ-,
неп;,әнкԓфа-,п1
роса,лэʔлўм,сущ
росомаха,тӄмиӈ,сущ
россомаха,лэӄэс,сущ
рот,ӄэсӽ,сущ
рубашка,урваӄ,сущ
рубашки деталь,часӽ,сущ
рубить п1;,әмпӽэ-; әнтʼԓ-,п1
рубить дрова,әњчʼсхэнә-,п1
ругать п1; п1;,ԓињԓэруӈ-; тайӈа-; чӽмал-,п1
ругаться,чӽмал-,неп
ругаться друг с другом,лоӈэл-,п2
ружейный чехол,ољэстэр,сущ
ружье,чʼит,сущ
ружье заряжать,тӽну-,п1
рука,хкʼич,сущ
рукав,сплаӈ,сущ
рукава засучить,тʼэсла-,п2
рукавица,љэләӈ,сущ
рукавицы,лыʔл,сущ
руками на себя тянуть,тхнэтзо-,п1
руками трогать,тәллат-,п1
рукоятка,упсӽ,сущ
рукоятка ножа,куйнәӈ,сущ
рукоятка скребка,ӄәнʔтʼсх,сущ
руку протягивать,әнамчэтә-,п1
руль,чисӽ,сущ
русло ручья,симтвэн,сущ
русоволосый,ттэхч,сущ
русский сущ; прил;,ачәбрэ; аʔвачӽ; ттэхч,сущ
ручей,киввэчӽ,сущ
ручка сущ;,кʼэкʼэлэчӽ; ӄуйвән,
сущ;,ручкэʔ,сущ
ручной,кԓэнкʼэӈʔин,прил
ручонка,кʼэкʼэлэчӽ,сущ
рыба ахтном сущ;,вэсалкалӈин,
сущ; сущ; с.; сущ; сущ;,ӄанас; нәњч; чʼувай; чʼучʼу; әњч,"сущ, сущ"
рыба вареная,пʼахпʼаӈ,сущ
"рыба вареная, чуть подвяленная",сэваʔн,сущ
рыба дохлая,итӄлач,сущ
рыба соленая,сољона,сущ
рыба умирающая,итӄлаʔай,сущ
"рыба, похожая на змею",ӄанас,сущ
рыбак сущ;,әлвэнтзолан; элвэнтзокиԓӽ,
рыбачить с.; неп с.; неп;,әлантзо-; әлантзокэс; әњчсӽмо-; элвэнтзо-,"неп, инф, неп"
рыбий плавник сущ;,таʔӈорэчӽ; тэвәч,сущ
рыбий хребет сущ;,кʼавач; кʼавач,"сущ, сущ"
рыбная котлета,тэԓной,сущ
рыбная ловля,ӄилӄилвин,сущ
рыбная мука,поршаʔ,сущ
рыбного запора деталь,тоʔсэс,сущ
рыбного запора часть,тоткʼс,сущ
рыбный запор,пэвлумч,сущ
рыболовная морда,чʼручʼ,сущ
рыболовная сеть,хилыӈ,сущ
рыболовного забора деталь,тоӈоԓ,сущ
рыболовное устройство,чʼручʼ,
сущ;,эчʼэном,сущ
рыбу гнать в запор,имзатэʔԓэ-,п1
рыбу ловить неп;,хилвиӈт-; әззаʔно-,неп
рыбу нанизывать,нэзэʔԓ-,неп
рыбы крошки,чимсхӄаʔн,сущ
рыбы самец,кʼӄлыкнэн,сущ
рыбы самка,ӄаʔаӄ,сущ
рыбы спинка,кочʼӽ,сущ
рыбье брюшко,кʼинкʼин,сущ
рыбье мясо,эраʔэр,сущ
рыбье мясо без костей,тӽисум,сущ
рыбьи молоки,лӄилӄэʔн,сущ
рыбьий пупочке,кʼињњачӽ,сущ
рыбья голова лыч с.;,хэвлыч,сущ
рыбья голова кислая,кԓчлэч,сущ
рыбья икра,ӈилӈил,сущ
рыбья кожа хинсх сущ;,әнсх,сущ
рыбья пластинка,аʔноӈ,сущ
рыбья слизь,әњԓкʼәм,сущ
рыбья требуха,чʼимӄʼэʔн,сущ
рыбья чешуя,мэлкʼал,сущ
рыгать,исәʔӈԓ-,неп
рыдать неп; неп;,сэӈԓ-; сэӈԓзо-,
рыжий А;,чʼачʼа-; чʼачʼалаӽ,прил
рыться п1;,амэсат-; тхэла-,неп
рыхлый,итэмлаӽ,прил
рычать,чʼиӈстэл-,неп
рябина с.; сущ; сущ;,ӄэлмэн; мчʼэмчʼ; әмчʼновал; әмчʼном,"сущ, сущ"
рядом,кʼалэк,нареч
с близкого места,тмалхʔал,нареч
с горки кататься,тӽлытзу-,неп
с давних пор,итʼэ,союз
с дороги сворачивать,пԓэ-,неп
с другой стороны,ӽохкмәӈк,нареч
с левой стороны,сичʼэӈанхʔал,нареч
с опозданием,амсанэӄ,нареч
с толку сбивать,әнмачʼа-,п1
с умом,нтытыӈсӄ,нареч
сад,әњԓаԓном,сущ
садбище,ԓавәлном,сущ
садиться неп; неп; неп; неп;,изусэ-; ԓавул-; ԓавулэт-; чкԓ-; чкԓит-,неп
саднить,кстʼи-,неп
саднить сильно,кстʼаван-,неп
сажа,чрэчрәм,сущ
сажать п1;,әњԓаԓ-; әњԓаʔԓ-,п1
сажей,ипэрвэ-,неп
сало свинное,салаʔ,сущ
сам,внэ,мест
сам я,˚кмилвин,мест
самец сущ;,иӽԓӽ; ӄлыӄэн,сущ
самец рыбы,кʼӄлыкнэн,сущ
самец рыбы зверя,ӄлыӄэн,сущ
самец соболя,ӄәлԓхим,сущ
самка,ԓхэйвак,сущ
самка дикого оленя,ԓхэйвак,сущ
самка рыбы сущ;,ӄаʔаӄ; ӈэвин,сущ
самка соболя,ӈикԓхим,сущ
самолет,самољот,сущ
сапоги,сапогаʔн,сущ
сарай запирать,ӽәлӄэпэт-,п1
сарана неп; сущ; неп; сущ; эфк,ињчʼ-; ӄŏсӄŏс; тоԓ-; тэмэӄ,
сахар,чаӄар,сущ
сахарница,сахарайоԓхэн,сущ
сбивать с толку,әнмачʼа-,п1
сбор урожая,энахԓ-,неп
сбрасывать перья,ичʼэ-,неп
сбросить семя,фэʔнэ-,неп
сварить ис- п1; коказо- с.;,кукэ-,п1
сварить наскоро,әнфайвазо-,п1
сват,ӽумисәт,сущ
свататься,сватаʔԓ-,неп
свая,хӄоч,сущ
свежий,свэзой,прил
свекла,свэклаʔ,сущ
свекор,ањԓэн,сущ
сверкание,иԓвэрчэм,сущ
сверкать неп;,иԓвирчу-; пэʔӈст-,неп
сверху,ханхʔал,нареч
сверху по течению,хањчхʔал,нареч
свет,атхʔатх,сущ
свет погасить,әнтхун-,п1
светильник,пиӈч,сущ
светильника фитиль,паӈԓаʔноӈ,сущ
светить неп; неп;,аʔнфс-; аʔнфсат-; пэʔӈст-,неп
светить неп; неп; неп;,азлаʔԓ-; аʔнфс-; аʔнфсат-; пэʔӈст-,неп
светло,атхӄ,нареч
светлый,атхлаӽ,прил
световой день,ӄԓӽәлмаӄол,сущ
свидетель,әԓчкукиԓӽ,
свизза,паӽэлылан,сущ
свиное сало,салаʔ,сущ
свинья,чускэʔ,
свистеть неп;,фифзэл-; ˚фйэпса-,неп
свистулька,фифзэл,сущ
свистулька из тальника,тыӄрэл,сущ
свистулька свистеть,фифзэл-,неп
сворачивать с дороги,пԓэ-,неп
связка сырого кипрея,нэнпәнт,сущ
запора,хәзвэʔԓәс,сущ
связывать,омтэ-,п1
святой прил; сватой,азлаӽ,
сгибать п1; п1; п1;,˚наԓ-; наԓала-; наԓэт-; тӄэнсэт-,п1
сгибать многократно,наԓэт-,п1
сгибать сильно,тӄэнсэн-,п1
сгибать слегка,наԓала-,п1
сгибаться неп;,˚наԓ-; наԓкас,инф
неп; неп; тхап-,насхэнԓ-,
сглазить п1;,иԓчкувийимиӈ; иԓ-,
сгребать,нонэʔԓ-,неп
сгружать п1;,нэӈԓэл-; нэӈԓэлэтә-,п1
"сдавливать долго, сильно",әмптӄэсхэн-,п1
сдвигать п1;,әнсчʼэлла-; әнсчʼэллала-,п1
сделать нечто плохое,аӈӄан; әнт-,п1
сделать ниже,нэзоӄʼа-,п1
сделать тоньше,әнкчоњӈа-,п1
север,айваӈ,сущ
северный,айванʔан,прил
северный ветер,йэммэйвин,сущ
сегодня,соводњи,нареч
Седанка (река),Эсхԓин,собств
Седанка новая,Эсхԓин,собств
Седанка старая,Эсхԓин,собств
седеть неп;,атхкʼэмамэ-; атхԓ-,неп
седлать,сэтл-,п1
седло,сэтлаʔ,сущ
седловина,изувэзәм,сущ
седой,атхкʼэм,сущ
секрет,амэԓас,сущ
село атном сущ;,тычсӽ,сущ
сельница,˚ӄэпх,сущ
сельский,атноʔан,прил
сельсовет,сэԓсовэт,сущ
семена,сэмаʔн,сущ
семья,кӈалос,сущ
сени сущ;,нутԓун; чињэӄ,сущ
сено,сэнаʔ,сущ
сенокос,сэнокос,сущ
сера ушная,иԓчʼсӄ,сущ
сердитый,кӽаӄањԓʔин,прил
сердить,әнӽаӄаӈэ-,п1
сердиться неп; слуны-,ԓӈаву-,
с.; неп; неп;,ӽаӄањԓ-; ӽиʔны-; чән-,неп
сердиться долго,ӽиʔныст-,неп
сердиться сильно неп;,ӽаӄанʔэ-; ӽаӄэны-,неп
сердце с.; сущ;,лӈәлӈуч; лыӈч; нутэчӽ,"сущ, сущ"
сердцевина кипрея,кичʼԓх,сущ
круглой формой,пʼәлӽӑӈ,сущ
объели черви,ӄамчʼал,сущ
сердцевину кипрея собирать,хәԓкʼомтэ-,п1
середина,кӑннэнк,нареч
"середина, центр",кӑннэн,сущ
серовато-бурый цвет пепла,пиӈлаӽ,прил
серо-коричневый,пәнлаӽ,прил
серый,пәнлаӽ,прил
серьги,йуӄэʔн,сущ
сестра сущ; силлатумх,лылыхԓ,
сестра старшая,њања,сущ
бисером,саʔља,сущ
сеть,хилыӈ,сущ
сеять,сэйаʔԓ-,неп
сжатая кисть,˚тәԓӄ,сущ
сжигать п1;,әнкʼват-; әнлуʔԓ-,п1
сзади залк с.; салк нареч;,салхʔал,нареч
сиденье,ԓавәлном,сущ
сидеть,ԓа-,неп
сила,ӄʼэфӄʼэф,сущ
сильно мэл нареч; нареч;,эсӄчаӄ; эсчаӄ,нареч
сильный,ӄʼэвлаӽ,прил
симпатию испытывать,кәмӈа-,неп
синеть,фԓа-,неп
синеть от мороза,әза-,неп
синий прил;,сињой; фԓлаӽ,прил
синица,мчʼэкал,сущ
синяк сущ;,ктвэном; кэрэном,сущ
сказать,ӽэнэ-,неп
сказка,амӈэл,сущ
сказки рассказывать,амӈэл-,неп
скакать галопом неп;,ӽиси-; чʼэтхла-,неп
скала,эʔлэ,сущ
скамейка,ԓаном,сущ
скандалить,тайӈа-,неп
скапливаться,ӄоњэӈстәл-,неп
скверно,ӄивэ,нареч
скверный,ӄивэлаӽ,прил
сквозить о ветре,тскәллә-,неп
сквозняк,тскәл,сущ
сквозняком продувать,әњтскәлл-,п1
складывать изула- п1;,әззут-,п1
снятую с него шкуру,ратоӈ-,п1
склеивать п1;,нэтмәњԓ-; әнтмиԓэт-,п1
склон,эʔлэ,сущ
склонный обманывать,тэмйуӈлаӽ,прил
скоблить неп; п1;,фэкʼаʔԓ-; фэкʼэ-; фэкʼэзо-,п1
выделкой шкур,плэʔԓ-,неп
скользить,иԓӽапʼэс-,неп
скользкий,иԓӽлаӽ,прил
скользко,иԓӽӄ,нареч
скользящая лыжа,лэӈәм,сущ
сколько нареч;,лаʔлӄ; лаʔлсхэʔн,
нареч;,энӄэмԓ,нареч
скорбь,әмчʼәмчʼ,сущ
скорлупа,консӽквал,сущ
скоро нареч;,хаԓч; хаԓч,"нареч, нареч"
скрадывать неп;,эчʼэви-; эчʼэви-,"п1, п1"
скребка рукоятка,ӄәнʔтʼсх,сущ
скребок авут сущ; инсхул сущ;,ӄањчсӽ,сущ
сущ;,ӄањчсӽ,сущ
кипрея,сэсӽал,сущ
скрипеть,чʼонкԓ-,неп
скрывать,тхӈат-,п1
скрываться из глаз,амэԓат-,неп
скрываться многократно,амэԓатат-,неп
скрытно нареч;,амэԓаӈ; фињвэ,
нареч;,хиʔнэрэ,нареч
скрытный,амэԓаӈлаӽ,прил
скупиться неп;,фиӈиʔԓ-; фэӈэԓ-,неп
скупой,фиӈилаӽ,прил
скучать неп; неп; прил; чхун-,макоʔԓ-; тэйвэӈ-; тэйвэӈлаӽ,
скучно,"кԓмако,; кԓтэйэӈэʔн",нареч
скучный,макоʔлаӽ; аӈйа,"прил, сущ"
слабый прил;,њэхиӄʼэвлаӽ; фәлвэлаӽ,прил
славный,кʼалваʔан,прил
сладкая трава,чʼанх,сущ
сладкий,чʼэвэзлаӽ,прил
сладким сделать,әнчʼивисс-,п1
сладко,чʼэвэсӄ,
слева нареч; нареч;,сичʼэӈанк; сичʼэӈанхʔал; сичʼэӈанхʔал,"нареч, нареч"
слегка,уључӄ,нареч
след сущ; тывином,ԓкзаном,
след лыж,лэӈазоноӈ,сущ
следить п1; чкзт-,ԓинԓкзэ-,
следовать за кем-либо сзади,саԓтэ-,неп
следом за собой вести,әнсаԓт-,п1
следы,скԓазонаʔн,сущ
следы ударов,тхԓном,сущ
слеза сущ;,мәзмәз; сиӈзил,сущ
слепая кишка,сйайолӈән,сущ
слизняк,лвәлф,сущ
слизь,әњԓкʼәм,сущ
слишком,амамкаӄ,нареч
слово сущ;,ԓэрвэтэс; ӽэнэс,сущ
сложить руки и ноги вместе,ӽамтзи-,неп
сломать п1;,әнкʼол-; әњчаӄол-,п1
сломаться,кʼол-,неп
слуга,халнчаӽ,сущ
служащая опорой для крыши,ананәмч,сущ
служащая подпоркой,ускʼәлӈин,сущ
служение,әлʔиԓном,сущ
слышаться,ԓузвэн-,неп
слышимый прил; лэ-,тэпәлаӽ; тэпәл,
слюна,иԓхэӈ,сущ
слякотить,чхкʼэтэ-,неп
слякоть,чхкʼэтх,сущ
смазывать жиром нысч- п1;,ӽамԓӽзо-,п1
смелый,смэлой,прил
смех,ԓиӈԓиӈ,сущ
смешивать п1; п1; п1;,лыʔлу-; ԓиʔԓ-; тӽэл-; әњчʼлымс-,п1
смешиваться неп;,товэл-; чʼлымс-,неп
смешить неп; п1; п1;,инԓӈин-; ԓинԓӈизи-; әнԓӈизи-; әнԓӈэ-,п2
смешной,ԓәӈлаӽ,прил
смеяться п1; неп; с.;,ԓиӈ; иԓ-; ԓӈизи-; ԓӈизэкэс; ԓӈэзэхтԓ-,"неп, неп"
смеяться над,ԓиӈвэйу; иԓ-,п1
смиренный,кʼилфсʔин,прил
смоковница,смокваʔануʔ,сущ
сморкаться неп; п1;,лэва-; лэваʔн; ахԓ-; әллаʔн; ахԓ-,"п1, п1"
сморкаться постоянно,лэвасхэн-,неп
смородина,мроʔрот,сущ
смотреть неп; с.; неп; п1;,лахԓ-; әљчку-; әԓчку-; әԓчку-; әнслы-,"п1, п1"
щель,твэстэв-,неп
смотреть вдаль,пэнкэчу-,неп
смотреть долго,ԓчкут-,п1
"смотреть, как едят",аʔнтхԓ-,неп
смотреться в зеркало,зэрклачо-,неп
смущаться,ӈэскла-,неп
смягчать,нәлтс-,п1
смягчаться,әлтсэ-,неп
снабжать,ԓинсисӽэӈԓ-,п1
снаружи нареч;,тэпәл; әззанк,нареч
снаружи (откуда),калфсхэʔал,нареч
снаряжать,ԓинсисӽэӈԓ-,п1
снаряжать кого-либо в дорогу,ԓинӈазиԓ-,п1
сначала,пэрвой,прил
снашиваться,ԓф-,неп
снег (лежащий на земле),˚ӄәллал,сущ
снег идет,тӽа-,неп
снег идет немного,тӽала-,неп
снег свежевыпавший,паӈопаӈ,сущ
снегирь,крэсэчӽ,сущ
снегом заносить неп;,фйалтэ-; фйалтэт-,неп
снегопад,тӑӽтӑӽ,сущ
снижаться,изуӄа-,неп
снизу А;,тнўмхʔал,нареч
снимать,аӽԓ-,п1
снимать кору луб с березы,улуʔԓ-,неп
снимать луб кору,кʼулу-,п1
снимать часть груза,нэӈԓэл-,п1
сниться,рэтла-,неп
снова,тэнаӄ,нареч
сновидение,рэтрэт,сущ
сноп кипрея,нэнпәнт,сущ
собак подманить,алволтэ-,п1
ние,кʼилэӽэзум,сущ
собака сущ; сущ;,˚ӄосӽ; ˚ӄсӽай; ӄсӽоʔњԓ,сущ
собака злая,чʼиӈзик,сущ
собака-самка,ӈиӄсӽ,сущ
собаку клеймить,эљтӄа-,п1
собачонка,˚ӄсӽай,сущ
собирание ягод,бэток,сущ
собирать п1;,ԓинӈазиԓ-,
приливом дары моря,эрвэнэт-,неп
собирать кедровые шишки,кунэӈт-,неп
собирать кипрей,ныӈт-,неп
собирать кипрей в посуду,алхпаʔԓ-,неп
собирать кого-либо в дорогу,ԓинтэвуӈ-,п1
дорогу,сисхэӈԓ-,п1
шишки кедрача,ӄтэсфԓ-,неп
собирать налоги,йасаӄаʔԓ-,неп
собирать ягоду неп;,зэʔԓ-; ӄты-,неп
собирать ягоды,ӄтэсфԓ-,неп
собирать яйца морских птиц,элвэтԓ-,неп
собираться неп; неп; неп; неп; омакат-,ӄзиԓ-; ӄоњэӈстәл-; ӄунэӈэ-; ӄуњэӈэ-,
собираться в дорогу,сисхэӈԓ-,неп
собираться в путь,ӄзиԓэт-,неп
собираться долго,тэву-,неп
собираться с силами,ӄʼэфчэ-,неп
соблазн,кәмӈэс,сущ
соблазнять неп;,кәмӈа-; әнкәмӈа-,
п1;,әнкәмӈаʔԓ-,неп
соболь,ԓхимԓхим,сущ
соболь-самец,ӄәлԓхим,сущ
соболь-самка,ӈикԓхим,сущ
собрание собрание сущ; п1; нон- п1; неп; ныву- с.;,энчэлном; ԓинӈазиԓ-; нонэʔԓ-; нэвнэ-,сущ
п1; неп; чил- п2; п1; п1; п1;,нэвнэʔԓ-; әнвэн-; әнӄоњэӈэвэ-; әнӄуњиӈи-; энвэл-,неп
собирать в дорогу,сисхэӈԓ-,п1
собственно пятно ржавчины,ӄэԓтʼәм,сущ
сова,ипәлакʼич,сущ
совать,тэԓ-,п1
совершить измену,ԓваԓтэ-,неп
советовать,әлʔиԓ-,п1
совка,чʼэхч,сущ
совместно,чʼэʔԓ-,п1
п1; неп;,нэстзо-; нэстзо-,"п1, п1"
совсем,сохсэм,нареч
совсем мало,кԓуљу,нареч
соглашаться,әлфча-,неп
согревать нома- п1; номса- п1;,әнчоʔԓ-,п1
согревать,әњчны-,п1
содержать,тхәʔњԓ-,п1
созвездие Большой Медведицы,Ӄањчсӽ,сущ
создавая марево,атәрватэ-,неп
сознаваться,икэ-,неп
созывать,очʼэт-,п1
сок березовый,иʔмэмәм,сущ
сокол,рэвлан,сущ
сократить,ныкәмс-,п1
соленая рыба,сољона,сущ
соленый прил; солкой,икʼсхулаӽ,
прил;,сољоной,прил
солить неп;,сољаʔԓ-; сољаʔԓ-,"п1, п1"
солнечный,клачʔин,прил
солнце садится,чкԓит-,неп
солнце садиться,чкԓ-,неп
солнышко,лаччаӽ,сущ
солонка,сољайоԓхэн,сущ
соль,сољ,сущ
сон,рэтрэт,сущ
сообща,ӄуњэӈ,нареч
сообщение,ампэлач,сущ
сопка,ӈэйӈэ,сущ
сопля сущ;,лэваӈ; әллаӈ,сущ
соревноваться,вәл-,неп
сосать неп;,әлӽэ-; әлӽэ-,"п1, п1"
сосед,кʼалэк; суњԓкиԓӽ,
сосок,љуључӽ,сущ
сосок мужской груди,лалхаӈ,сущ
состязаться,вәл-,неп
сосуд сущ;,тйотйәм; эʔйоԓхэн,сущ
сосуд для воды,эʔйоԓхэн,сущ
сосулька,кэтвоԓчаӽ,сущ
сохнуть неп;,кʼахса-; кʼисхԓ-,неп
сохранить,әнфтэʔԓ-,п1
сохранять,ӈиты-,п1
союзка (при меховой обуви),лэлут,сущ
спальня,˚ӈэкԓном,сущ
спасать неп; неп;,спасаԓ-; спасаʔԓ-; әнспасаʔԓ-,п1
спасибо,ӄэчʼэԓ,нареч
Спаситель,спасаʔԓкаԓӽ,сущ
спать с.; с.; неп;,йилӄэт-; йәлӄэ-; ˚ӈикԓ-; ˚ӈиксины-,"неп, неп, неп"
спать хотеть,тсӄэ-,неп
спелый,кʼискнэн,прил
спереди,кԓфәњчк,нареч
спеть,чаӄаʔԓ-,неп
для привязвания собак,кʼилэӽэзум,сущ
спешить,чэфи-,неп
спилить,пилыʔԓ-,неп
спина с.;,кʼаач; кʼавач,"сущ, сущ"
спинка рыбы сущ;,кочʼӽ; сэӄэсэӄ,сущ
спинная часть оленьей туши,ситԓп-,п1
спинной плавник,тәнзасӽ,сущ
спички,спичкаʔн,сущ
сплющивать,әмптӄэ-,п1
спокойно,ткарвэла,нареч
спокойный,исэӈлаӽ,прил
спор акуманом сущ;,анԓманом,сущ
спорить,спорэʔԓ-,неп
спотыкаться многократно,купсхэн-,неп
справа,хтоӈанк;; хтоӈанхʔал,
справедливый,клыԓʔин,прил
спрашивать п1; п1; п1;,ӄԓињԓлу-; ԓињԓлу-; ԓэњԓлозо-; пәӈло-,неп
спрашивать разрешения,спӈэл-,неп
спрашивать(ся),спӈэл-,неп
спрыгивать неп;,сткʼԓат-; стʼкԓ-,
неп;,стʼкԓатэ-,неп
спрятать,намзӈа-,п1
сражаться,лутʼԓхэ-,неп
сразу нареч;,ӄнаӈ; ӄнэӈ,нареч
среди,кӑннэнк,нареч
средний прил;,кӑннэнʔан; кӑннʔин,прил
ссора,лотʼԓхэс,сущ
ссориться п2;,лоӈэл-; чӽмал-,неп
ставить п1;,әнтӽзуʔԓ-; әњчхл-,п1
ставить вертикально,әнтӽзуʔԓ-,п1
ставить заплаты п1;,атԓэмкʼа-,
ставить заплаты на одежду,азәмзэ-,п1
обуви,атԓэмкʼаʔԓ-,неп
ставить капканы,анчхлэт-,п1
ставить на стол,әњчэв-,п1
ставить силки,анчхлэт-,п1
стадо,ӈэлэ,сущ
стадо охранять,хчоԓ-,п1
стадо пасти,хчоԓ-,п1
сталкивать,тныԓ-,п1
становиться лэ- неп;,лэтэт-,неп
становиться в строй,тэкэй-,неп
становиться короче,икәмсэ-,неп
становиться мягким,филкʼси-,неп
становиться сильнее,ӄʼэфсэ-,неп
становиться тонким,кчоњсэ-,неп
лыжи,наԓаʔныӈ,сущ
стараться,стараʔԓ-,неп
старая (пожилая) женщина,ктхлотэкнэн,сущ
средний кулик сущ;,тʼотʼотʼ; пэтовал,сущ
срезать,әлпә-,п1
срезать шерсть,әлпә-,п1
срубить,әмпӽэ-,п1
срывать,лэкʼа-,п1
срываться,тсӑл-,неп
стареть неп; лэ-,дьэдьутэ-; тӽлоӈ,
неп;,әнпә-,неп
стареть (о женщине),бабутэ-,неп
старик сущ;,дьэдьучӽ; ӽэӄач,сущ
любовник,каԓалхп,сущ
старинный прил;,итʼэнан; ӄаʔтʼанан,прил
стариться с.;,вэӄатэ-; тхлотэ-,неп
неп; лэ- неп;,тӽлоӈ; ӽэӄатэ-,неп
староста,старостаʔ,сущ
старуха сущ; тхлом,бабучӽ,
старушка,тхлочӽ,сущ
старшая сестра,њања,сущ
старший прил;,кԓфәњчʔан,
старший брат,аља,сущ
сестре,аља,сущ
старый с.;,итʼэнован; итʼэʔан,прил
прил с.; прил; прил; старой прил;,кпэтсакнан; ӄаʔтʼанан; утхлаӽ,прил
старый (пожилой) мужчина,кӽэӄатэкнэн,сущ
старый (пожилой) человек,мэтхлаӽ,сущ
старый большой лахтак,ӄлэӄамәӈ,сущ
старый гусь,ӽэӄсас,сущ
старый медведь,эԓэвйуӄ,сущ
"старый, заброшенный дом",кистаӄол,сущ
старьё,варнасӽӄ,сущ
ствол,уʔ,сущ
стебель,упсӽ,сущ
стегать п1; п1;,тпәлл-; чʼапткʼол-; чʼапткʼолсхэн-,п1
стекло,стэклоʔ,сущ
стеклянный,стэклаʔан,прил
стелить постель неп;,ањтс-; ањтс-,
п1;,стыʔԓ-,п1
стелить(ся),стыʔԓ-,неп
стелиться,ањтс-,неп
стелька,стэʔнŏӈ,сущ
стелька из травы,чʼунэʔн,сущ
русско-ительменский индекс,чʼонэʔԓ-,неп
ных горбылей тонких жердей,утӽзуʔнэʔн,сущ
стеречь неп;,инэнйу-; ӈиты-,п1
стеснительный,кскозолаӽ,прил
стесняться неп; с.; неп;,кскозоʔԓ-; ӈэскла-; тоӈрэпԓ-; тормаʔԓ-,"неп, неп"
стирать неп;,инләмәԓ-; стираʔԓ-,неп
сто числ,туʔус,
столб сущ;,упэв; хӄоч,сущ
столовая сущ;,новаʔԓном; нукнэн,
стонать,эӈалэлэт-,неп
сторож,кʼанхчоʔԓʔан,сущ
сторожить инйу- п1;,инйусхэн-,п1
сторона,˚касоӈ,сущ
стоянка,онмэном,сущ
стоять,тӽзу-,неп
стоять прочно,тӽзоʔӈэ-,неп
страдание от голода,чэӄсхэс,сущ
страдать неп;,чэӄсхэ-; чэӄсхэзо-,неп
страдать душевно,нытасхэн-,неп
страна,сәмт,сущ
страшно,˚кԓийаки,нареч
страшный,˚ийакилаӽ,прил
стрела с.;,каԓф; каԓх,"сущ, сущ"
стрелы делать,каԓхԓ-,неп
стрелять неп; п1;,ԓот-; ԓот-; ԓотзо-,
неп;,ԓотзо-,п1
стремиться,фсэʔԓ-,неп
стриж сущ;,аткʼаљачӽ; коԓханчик,сущ
