russian,itelmen,part of speech
вид сараны,tэmэq,сущ
растение типа кимчиги,rəmŋэn,сущ
растереть,tozata-,п1
расти,əsxtэ- неп; эsχtэ- неп,multiple translations
растирание,anzas сущ; anzaʔnoŋ сущ,multiple translations
растирать,tozazo- п1; tozazoʔɬ-,multiple translations
ребенка убаюкивать,krwэɬu-,п1
ребенок,ɲэɲэkэčχ сущ; p'эč сущ,multiple translations
ребенок приемный,tχaʔɬэs,сущ
ребро,ftorэl,сущ
ребята,ɲэʔɲsxč'эʔn,сущ
рев,fajxanom,сущ
реветь,бэwэ- неп; fajxa- неп,multiple translations
редиска,rэdiskaʔ,сущ
редкий,эʔlaχ,прил
редко,эʔlq,нареч
редко встречающийся,ɬmaʔnax,сущ
редко стоящий,эʔlaχ,прил
реднего возраста лахтак,mэč'tal,сущ
резать,əmpχэ-,п1
резать по кусочкам,əmpχэt-,п1
резать по частям,əmpχэt-,п1
резать траву,əzzatɬ-,неп
резинка,rэzinkaʔ,сущ
река,kiw сущ; kij сущ с.,multiple translations
река Авача,Сuaču,собств
река Большая,Кɨkшa Ю.,собств
справа,Кupxč,собств
река вскрывается,əlp-,неп
река Пирожникова,Мəzilx,собств
головном уборе,inwэniŋ,сущ
ремень,liɬ сущ; sit сущ,multiple translations
ремень нарты,uttuwalŋən сущ; č'rustənəŋ сущ,multiple translations
к копыльям,insxuʔŋэnəŋ,сущ
на нарте,omtэʔnəm,сущ
корзины,lэwtэnəŋ,сущ
ремешок,inwinom,сущ
ремешок на обуви,nənsnom,сущ
копылье к полозу нарты,anpэnəm,сущ
копыльями,isxuŋэnəŋ,сущ
ремонтировать,ɬinmiti-,п1
ремонтировать бат,ənxiʔŋiŋ-,п1
ремонтом заниматься,otxpaʔɬ-,неп
репа,rэpaʔ,сущ
репутация,alwas,сущ
ресница,laɬč,сущ
республика,rэspuбlikaʔ,сущ
речная коса,tosx,сущ
речное устье,anχsχ,сущ
речной,kiwʔin,прил
речной рачок,akawʔač,сущ
речушка,kiwwэčχ,сущ
речь,krwэɬxatas сущ; lanom сущ,multiple translations
ловушкой,lak'эɬčaʔnəŋ,сущ
ловушки запора,lapэlŋən,сущ
ржаветь,qэɬt'э-,неп
ржавчина,qэɬt'əm,сущ
рисовать,rэsowaʔɬ-,неп
рисунок,kэlэkэl,сущ
робеть,toŋrэpɬ- неп; tormaʔɬ- неп,multiple translations
робкий,kskozolaχ прил; kxtэʔan прил,multiple translations
ровдуга,rэtэm,сущ
ровдуга белая,č'iraqt'əl,сущ
ровдужные штаны,kwasqэl,сущ
ровно,pslaŋsq,нареч
ровный,pslaŋslaχ,прил
рог,əntэŋ,сущ
рогатый,ntэlan,прил
роговой,ntэnʔan,прил
рогожа,čirэl,сущ
род,tinuwal,сущ
"род перил, чтобы удержать груз",warжin,сущ
родители,isxэʔn,сущ
родить,itnэ- неп; p'эtэ- неп; ənsχt- п1,multiple translations
родиться,axs- неп; əlxp- неп,multiple translations
родник,kʎučэčχ,сущ
родня,tinutin,сущ
родственник,tinutin,сущ
рожать,awza- неп; awzazo- неп; awzat- неп; rowa- неп с.,multiple translations
роза,kwэzэm сущ; qwэzэm сущ,multiple translations
ронять,nikɬfaʔɬ- неп; nətɬkэ- неп; ənkɬfa- п1,multiple translations
роса,lэʔlŭm,сущ
росомаха,tqmiŋ,сущ
россомаха,lэqэs,сущ
рот,qэsχ,сущ
рот открывать,fačza-,неп
рубашка,urwaq,сущ
рубашки деталь,časχ,сущ
рубить,əmpχэ- п1; ənt'ɬ- п1,multiple translations
рубить дрова,əɲč'sxэnə-,п1
рубить дрова поперек,ulwi-,неп
рубль,ruбl',сущ
ругать,ɬiɲɬэruŋ- п1; tajŋa- п1; čχmal- п1,multiple translations
ругаться,čχmal-,неп
ругаться друг с другом,loŋэl-,п2
ружейный чехол,oʎэstэr,сущ
ружье,č'it,сущ
ружье заряжать,tχnu-,п1
рука,xk'ič,сущ
рукав,splaŋ,сущ
рукава засучить,t'эsla-,п2
рукавица,ʎэləŋ,сущ
рукавицы,liʔl,сущ
руками на себя тянуть,txnэtzo-,п1
руками трогать,təllat-,п1
руководитель,tnakol,сущ
рукой гладить,alat-,п1
рукоятка,upsχ,сущ
рукоятка ножа,kujnəŋ,сущ
рукоятка скребка,qənʔt'sx,сущ
руку протягивать,ənamčэtə-,п1
руль,čisχ,сущ
рунный ход рыбы,ijazo-,неп
русло ручья,simtwэn,сущ
русоволосый,ttэxč,сущ
русский,ačəбrэ сущ; aʔwačχ прил; ttэxč сущ,multiple translations
ручей,kiwwэčχ,сущ
ручка,k'эk'эlэčχ сущ; qujwən сущ; ručkэʔ сущ,multiple translations
ручной,kɬэnk'эŋʔin,прил
ручонка,k'эk'эlэčχ,сущ
рыба,axtnom сущ; wэsalkalŋin сущ; qanas сущ; nəɲč сущ с.; č'uwaj сущ; č'uč'u сущ; əɲč сущ,multiple translations
рыба без икры,aasad Ю.,сущ
рыба вареная,p'axp'aŋ,сущ
"рыба вареная, чуть подвяленная",sэwaʔn,сущ
рыба дохлая,itqlač,сущ
рыба кислая,filwil,сущ
рыба красная,ksus,сущ
рыба соленая,soʎona,сущ
рыба умирающая,itqlaʔaj,сущ
"рыба, вяленая целиком",notan,сущ
"рыба, похожая на змею",qanas,сущ
рыбак,əlwэntzolan сущ;,multiple translations
рыбачить,əlantzo- неп с.; əlantzokэs инф неп с.; əɲčsχmo- неп; эlwэntzo- неп,multiple translations
рыбий плавник,taʔŋorэčχ сущ; tэwəč сущ,multiple translations
рыбий хребет,k'awač сущ; k'awač сущ,multiple translations
рыбная котлета,tэɬnoj,сущ
рыбная ловля,qilqilwin,сущ
рыбная мука,porшaʔ,сущ
рыбного запора деталь,toʔsэs,сущ
рыбного запора часть,totk's,сущ
рыбный запор,pэwlumč,сущ
рыболовная морда,č'ruč',сущ
рыболовная сеть,xiliŋ,сущ
рыболовного забора деталь,toŋoɬ,сущ
рыболовное устройство,č'ruč' сущ; эč'эnom сущ,multiple translations
рыбу гнать в запор,imzatэʔɬэ-,п1
рыбу ловить,xilwiŋt- неп; əzzaʔno- неп,multiple translations
рыбу нанизывать,nэzэʔɬ-,неп
рыбу разделывать,axt- п1; xt- п1,multiple translations
рыбы всплеск,injinom,сущ
рыбы крошки,čimsxqaʔn,сущ
рыбы самец,k'qliknэn,сущ
рыбы самка,qaʔaq,сущ
рыбы спинка,koč'χ,сущ
рыбы ход,ijazo-,неп
рыбье брюшко,k'ink'in,сущ
рыбье мясо,эraʔэr,сущ
рыбье мясо без костей,tχisum,сущ
рыбьи молоки,lqilqэʔn,сущ
рыбьий пупочке,k'iɲɲačχ,сущ
рыбья голова,lič сущ с.; xэwlič сущ,multiple translations
рыбья голова кислая,kɬčlэč,сущ
рыбья икра,ŋilŋil,сущ
рыбья кожа,xinsx сущ; ənsx сущ с.,multiple translations
рыбья пластинка,aʔnoŋ,сущ
рыбья слизь,əɲɬk'əm,сущ
рыбья требуха,č'imq'эʔn,сущ
рыбья чешуя,mэlk'al,сущ
рыгать,isəʔŋɬ-,неп
рыдать,sэŋɬ- неп; sэŋɬzo- неп; fajxa- неп,multiple translations
рыжий,č'ač'a- А; č'ač'alaχ прил,multiple translations
рыть,satu- неп; satu- п1,multiple translations
рыться,amэsat- п1; txэla- неп,multiple translations
рыхлый,itэmlaχ,прил
рычать,č'iŋstэl-,неп
рябина,qэlmэn сущ с.; mč'эmč' сущ; əmč'nowal сущ; əmč'nom сущ,multiple translations
рядом,k'alэk,нареч
с близкого места,tmalxʔal,нареч
с горки кататься,tχlitzu-,неп
с давних пор,it'э,союз
с дороги сворачивать,pɬэ-,неп
с другой стороны,χoxkməŋk,нареч
с левой стороны,sič'эŋanxʔal,нареч
с опозданием,amsanэq,нареч
с толку сбивать,ənmač'a-,п1
с умом,ntitiŋsq,нареч
сад,əɲɬaɬnom,сущ
садбище,ɬawəlnom,сущ
садиться,izusэ- неп; ɬawul- неп; ɬawulэt- неп; čkɬ- неп; čkɬit- неп,multiple translations
саднить,kst'i-,неп
саднить сильно,kst'awan-,неп
сажа,črэčrəm,сущ
сажать,əɲɬaɬ- п1; əɲɬaʔɬ- п1,multiple translations
сажей,ipэrwэ-,неп
сало свинное,salaʔ,сущ
сам,wnэ,мест
сам я,ʷkmilwin,мест
самец,iχɬχ сущ; qliqэn сущ,multiple translations
самец рыбы,k'qliknэn,сущ
самец рыбы зверя,qliqэn,сущ
самец соболя,qəlɬxim,сущ
самка,ɬxэjwak,сущ
самка дикого оленя,ɬxэjwak,сущ
самка рыбы,qaʔaq сущ; ŋэwin сущ с.,multiple translations
самка соболя,ŋikɬxim,сущ
самолет,samoʎot,сущ
самострел,los,сущ
самый,samoj,прил
санитарный,sanitarnoj,прил
сапоги,sapogaʔn,сущ
сарай,saraj,сущ
сарай запирать,χəlqэpэt-,п1
сарана,iɲč'- неп; qŏsqŏs сущ; toɬ- неп; tэmэq сущ; эfk сущ,multiple translations
сахар,čaqar,сущ
сахарница,saxarajoɬxэn,сущ
сбивать с толку,ənmač'a-,п1
сбиваться с пути,čxillit-,неп
сбор урожая,эnaxɬ-,неп
сбрасывать перья,ič'э-,неп
сбросить семя,fэʔnэ-,неп
сварить,is- п1; kokazo- п1 с.; kukэ- п1,multiple translations
сварить наскоро,ənfajwazo-,п1
сват,χumisət,сущ
свататься,swataʔɬ-,неп
свая,xqoč,сущ
свежий,swэzoj,прил
свекла,swэklaʔ,сущ
свекор,aɲɬэn,сущ
сверкание,iɬwэrčэm,сущ
сверкать,iɬwirču- неп; pэʔŋst- неп,multiple translations
свернуться клубком,kowos-,неп
сверху,xanxʔal,нареч
сверху по течению,xaɲčxʔal,нареч
свет,atxʔatx,сущ
свет погасить,əntxun-,п1
светать,atxsa- неп; txsa- неп,multiple translations
светильник,piŋč,сущ
светильника фитиль,paŋɬaʔnoŋ,сущ
светить,aʔnfs- неп; aʔnfsat- неп; pэʔŋst- неп,multiple translations
светить,azlaʔɬ- неп; aʔnfs- неп; aʔnfsat- неп; pэʔŋst- неп,multiple translations
светлеть,atx-,неп
светло,atxq,нареч
светлый,atxlaχ,прил
световой день,qɬχəlmaqol,сущ
свизза,paχэlilan,сущ
свиное сало,salaʔ,сущ
свистеть,fifzэl- неп; ʷfjэpsa- неп,multiple translations
свистулька,fifzэl,сущ
свистулька из тальника,tiqrэl,сущ
свистулька свистеть,fifzэl-,неп
свобода,swoбoda,сущ
свободный,swoбodnoj,прил
сворачивать,ksota-,неп
сворачивать с дороги,pɬэ-,неп
связка сырого кипрея,nэnpənt,сущ
запора,xəzwэʔɬəs,сущ
связывать,omtэ-,п1
святой,azlaχ прил; swatoj прил,multiple translations
святой дух Святой,Фčifč,сущ
священник,poxpx,сущ
сгибать,ʷnaɬ- п1; naɬala- п1; naɬэt- п1; tqэnsэt- п1,multiple translations
сгибать многократно,naɬэt-,п1
сгибать сильно,tqэnsэn-,п1
сгибать слегка,naɬala-,п1
сгибаться,ʷnaɬ- неп; naɬkas инф неп; nasxэnɬ- неп; txap- неп,multiple translations
сглазить,iɬčkuwijimiŋ iɬ- п1; čxl- п1,multiple translations
сгребать,nonэʔɬ-,неп
сгребать в кучу,non-,п1
сгружать,nэŋɬэl- п1; nэŋɬэlэtə- п1,multiple translations
"сдавливать долго, сильно",əmptqэsxэn-,п1
сдваивать ткань,pkat-,п1
сдвигать,ənsč'эlla- п1; ənsč'эllala- п1,multiple translations
сделать,sk- п1; skawata- п1,multiple translations
сделать длиннее,niwls-,п1
сделать нечто плохое,aŋqan ənt-,п1
сделать ниже,nэzoq'a-,п1
сделать тоньше,ənkčoɲŋa-,п1
сделать хромым,natkawa-,п1
север,ajwaŋ,сущ
северный,ajwanʔan,прил
северный ветер,jэmmэjwin,сущ
сегодня,sowodɲi,нареч
Седанка (река),Эsxɬin,собств
Седанка новая,Эsxɬin,собств
Седанка старая,Эsxɬin,собств
седеть,atxk'эmamэ- неп; atxɬ- неп,multiple translations
седлать,sэtl-,п1
седло,sэtlaʔ,сущ
седловина,izuwэzəm,сущ
седой,atxk'эm,сущ
сейчас,časit,нареч
секрет,amэɬas,сущ
село,atnom сущ; tičsχ сущ с.,multiple translations
сельница,ʷqэpx,сущ
сельский,atnoʔan,прил
сельсовет,sэɬsowэt,сущ
семена,sэmaʔn,сущ
семь,эtuktunuk,числ
семья,kŋalos,сущ
сени,nutɬun сущ; čiɲэq сущ,multiple translations
сено,sэnaʔ,сущ
сенокос,sэnokos,сущ
сентябрь,sentябr,сущ
сера ушная,iɬč'sq,сущ
сердитый,kχaqaɲɬʔin,прил
сердить,ənχaqaŋэ-,п1
сердиться,ɬŋawu- неп; sluni- неп с.; χaqaɲɬ- неп; χiʔni- неп; čən- неп,multiple translations
сердиться долго,χiʔnist-,неп
сердиться сильно,χaqanʔэ- неп; χaqэni- неп с.,multiple translations
сердце,lŋəlŋuč сущ с.; liŋč сущ; nutэčχ сущ,multiple translations
сердцевина кипрея,kič'ɬx,сущ
круглой формой,p'əlχӑŋ,сущ
объели черви,qamč'al,сущ
сердцевину кипрея собирать,xəɬk'omtэ-,п1
середина,kӑnnэnk,нареч
"середина, центр",kӑnnэn,сущ
серовато-бурый цвет пепла,piŋlaχ,прил
серо-коричневый,pənlaχ,прил
серый,pənlaχ,прил
серьги,juqэʔn,сущ
серьёзно,imts,нареч
сестра,lilixɬ сущ; sillatumx сущ,multiple translations
сестра старшая,ɲaɲa,сущ
бисером,saʔʎa,сущ
сеть,xiliŋ,сущ
сеть вязать,ilwil-,п1
сеять,sэjaʔɬ-,неп
сжатая кисть,ʷtəɬq,сущ
сжигать,ənk'wat- п1; ənluʔɬ- п1,multiple translations
сзади,zalk нареч с.; salk нареч; salxʔal нареч,multiple translations
сиденье,ɬawəlnom,сущ
сидеть,ɬa-,неп
сила,q'эfq'эf,сущ
силок,xap сущ; эnat сущ,multiple translations
сильно,mэl нареч; эsqčaq нареч; эsčaq нареч,multiple translations
сильный,q'эwlaχ,прил
симпатию испытывать,kəmŋa-,неп
синеть,fɬa-,неп
синеть от мороза,əza-,неп
синий,siɲoj прил; fɬlaχ прил,multiple translations
синица,mč'эkal,сущ
синяк,ktwэnom сущ; kэrэnom сущ,multiple translations
сказать,χэnэ-,неп
сказка,amŋэl,сущ
сказки рассказывать,amŋэl-,неп
скакать галопом,χisi- неп; č'эtxla- неп,multiple translations
скала,эʔlэ,сущ
скамейка,ɬanom,сущ
скандалить,tajŋa-,неп
скапливаться,qoɲэŋstəl-,неп
скверно,qiwэ,нареч
скверный,qiwэlaχ,прил
сквозить о ветре,tskəllə-,неп
сквозняк,tskəl,сущ
сквозняком продувать,əɲtskəll-,п1
складывать,izula- п1; əzzut- п1,multiple translations
снятую с него шкуру,ratoŋ-,п1
склеивать,nэtməɲɬ- п1; əntmiɬэt- п1,multiple translations
склон,эʔlэ,сущ
склонный обманывать,tэmjuŋlaχ,прил
скоблить,fэk'aʔɬ- неп; fэk'э- п1; fэk'эzo- п1,multiple translations
выделкой шкур,plэʔɬ-,неп
скоблить шкуры при выделке,pl-,п1
скользить,iɬχap'эs-,неп
скользкий,iɬχlaχ,прил
скользко,iɬχq,нареч
скользящая лыжа,lэŋəm,сущ
сколько,laʔlq нареч; laʔlsxэʔn нареч; эnqэmɬ нареч,multiple translations
скорбь,əmč'əmč',сущ
скорлупа,konsχkwal,сущ
скоро,xaɬč нареч; xaɬč нареч,multiple translations
скрадывать,эč'эwi- неп; эč'эwi- п1,multiple translations
скребка рукоятка,qənʔt'sx,сущ
скребок,awut сущ; insxul сущ; qaɲčsχ сущ,multiple translations
скребок для выделки шкур,awut сущ; qaɲčsχ сущ,multiple translations
кипрея,sэsχal,сущ
скрестить,lotmil-,п1
скрипеть,č'onkɬ-,неп
скрывать,txŋat-,п1
скрываться из глаз,amэɬat-,неп
скрываться многократно,amэɬatat-,неп
скрытно,amэɬaŋ нареч; fiɲwэ нареч; xiʔnэrэ нареч,multiple translations
скрытный,amэɬaŋlaχ,прил
скупиться,fiŋiʔɬ- неп; fэŋэɬ- неп,multiple translations
скупой,fiŋilaχ,прил
скучать,makoʔɬ- неп; tэjwэŋ- неп; tэjwэŋlaχ прил; čxun- неп,multiple translations
скучно,"kɬmako, kɬtэjэŋэʔn",нареч
скучный,makoʔlaχ,прил
слaвa,aŋja,сущ
слабый,ɲэxiq'эwlaχ прил; fəlwэlaχ прил,multiple translations
слава,alwas,сущ
славить,nalwaw-,п1
славный,k'alwaʔan,прил
сладкая трава,č'anx,сущ
сладкий,č'эwэzlaχ,прил
сладким сделать,ənč'iwiss-,п1
слева,sič'эŋank нареч; sič'эŋanxʔal нареч; sič'эŋanxʔal нареч,multiple translations
слегка,uʎučq,нареч
след,ɬkzanom сущ; tiwinom сущ,multiple translations
след лыж,lэŋazonoŋ,сущ
следить,ɬinɬkzэ- п1; čkzt- п1,multiple translations
следовать за кем-либо сзади,saɬtэ-,неп
следом за собой вести,ənsaɬt-,п1
следы,skɬazonaʔn,сущ
следы ударов,txɬnom,сущ
слеза,məzməz сущ; siŋzil сущ,multiple translations
слезать,ip- неп; nas- неп,multiple translations
слезать с лошади,ipit-,неп
слепая кишка,sjajolŋən,сущ
слизняк,lwəlf,сущ
слизь,əɲɬk'əm,сущ
слишком,amamkaq,нареч
словарь,slowar,сущ
слово,ɬэrwэtэs сущ; χэnэs сущ,multiple translations
сложить руки и ноги вместе,χamtzi-,неп
сломать,ənk'ol- п1; əɲčaqol- п1,multiple translations
сломаться,k'ol-,неп
слуга,xalnčaχ,сущ
служащая опорой для крыши,ananəmč,сущ
служащая подпоркой,usk'əlŋin,сущ
служение,əlʔiɬnom,сущ
слух,эsxpat,сущ
случай,sxlos,сущ
случаться,sxlu-,неп
слушать,ilfs-,п1
слушаться,ilfs-,неп
слыть,alwa-,неп
слышать,ilfs-,неп
слышаться,ɬuzwэn-,неп
слышимый,tэpəlaχ прил;,multiple translations
тэпәл,lэ-,неп
слюна,iɬxэŋ,сущ
слякотить,čxk'эtэ-,неп
слякоть,čxk'эtx,сущ
либо,anza-,п1
смазывать жиром,nisč- п1; χamɬχzo- п1,multiple translations
смелый,smэloj,прил
смерть,эsxnom,сущ
смех,ɬiŋɬiŋ,сущ
смешанный лес,lilum,сущ
смешивать,liʔlu- п1; ɬiʔɬ- п1; tχэl- п1; əɲč'lims- п1,multiple translations
смешиваться,towэl- неп; č'lims- неп,multiple translations
смешить,inɬŋin- неп; ɬinɬŋizi- п1; ənɬŋizi- п1; ənɬŋэ- п2,multiple translations
смешной,ɬəŋlaχ,прил
смеяться,ɬiŋ iɬ- п1; ɬŋizi- неп; ɬŋizэkэs неп с.; ɬŋэzэxtɬ- неп,multiple translations
смеяться над,ɬiŋwэju iɬ-,п1
смиренный,k'ilfsʔin,прил
смоковница,smokwaʔanuʔ,сущ
сморкаться,lэwa- неп; lэwaʔn axɬ- п1; əllaʔn axɬ- п1 с.,multiple translations
сморкаться постоянно,lэwasxэn-,неп
смородина,mroʔrot,сущ
смотреть,laxɬ- неп; əʎčku- п1 с.; əɬčku- неп; əɬčku- п1; ənsli- п1,multiple translations
щель,twэstэw-,неп
смотреть вдаль,pэnkэču-,неп
смотреть долго,ɬčkut-,п1
"смотреть, как едят",aʔntxɬ-,неп
смотреться в зеркало,zэrklačo-,неп
смущаться,ŋэskla-,неп
смягчать,nəlts-,п1
смягчаться,əltsэ-,неп
снабжать,ɬinsisχэŋɬ-,п1
снаружи,tэpəl нареч; əzzank нареч,multiple translations
снаружи (где),kalfsk,нареч
снаружи (откуда),kalfsxэʔal,нареч
снаряжать,ɬinsisχэŋɬ-,п1
снаряжать кого-либо в дорогу,ɬinŋaziɬ-,п1
сначала,pэrwoj,прил
снашиваться,ɬf-,неп
снег (лежащий на земле),ʷqəllal,сущ
снег идет,tχa-,неп
снег идет немного,tχala-,неп
снег свежевыпавший,paŋopaŋ,сущ
снегирь,krэsэčχ,сущ
снегом заносить,fjaltэ- неп; fjaltэt- неп,multiple translations
снегом мести,fjal-,неп
снегопад,tӑχtӑχ,сущ
снижаться,izuqa-,неп
снизу,tnŭm- А; tnŭmxʔal нареч,multiple translations
снимать,aχɬ-,п1
снимать кору луб с березы,uluʔɬ-,неп
снимать луб кору,k'ulu-,п1
снимать часть груза,nэŋɬэl-,п1
"снимать что-либо, кору, луб",ulu-,п1
сниться,rэtla-,неп
снова,tэnaq,нареч
сновидение,rэtrэt,сущ
сноп кипрея,nэnpənt,сущ
собак подманить,alwoltэ-,п1
ние,k'ilэχэzum,сущ
собака,ʷqosχ сущ; ʷqsχaj сущ; qsχoʔɲɬ сущ,multiple translations
собака злая,č'iŋzik,сущ
собака-самка,ŋiqsχ,сущ
собаку клеймить,эʎtqa-,п1
собачонка,ʷqsχaj,сущ
собирание ягод,бэtok,сущ
собирать,ɬinŋaziɬ- п1;,multiple translations
приливом дары моря,эrwэnэt-,неп
собирать кедровые шишки,kunэŋt-,неп
собирать кипрей,niŋt-,неп
собирать кипрей в посуду,alxpaʔɬ-,неп
собирать кого-либо в дорогу,ɬintэwuŋ-,п1
дорогу,sisxэŋɬ-,п1
шишки кедрача,qtэsfɬ-,неп
собирать налоги,jasaqaʔɬ-,неп
собирать ягоду,zэʔɬ- неп; qti- неп,multiple translations
собирать ягоды,qtэsfɬ-,неп
собирать яйца морских птиц,эlwэtɬ-,неп
собираться,qziɬ- неп; qoɲэŋstəl- неп; qunэŋэ- неп; quɲэŋэ- неп; omakat- неп с.,multiple translations
собираться в дорогу,sisxэŋɬ-,неп
собираться в путь,qziɬэt-,неп
собираться вместе,iwu-,неп
собираться долго,tэwu-,неп
собираться с силами,q'эfčэ-,неп
соблазн,kəmŋэs,сущ
соблазнять,kəmŋa- неп; ənkəmŋa- п1; ənkəmŋaʔɬ- неп,multiple translations
соболь,ɬximɬxim,сущ
соболь-самец,qəlɬxim,сущ
соболь-самка,ŋikɬxim,сущ
собрание,soбranie сущ; эnčэlnom сущ ɬinŋaziɬ- п1; non- п1; nonэʔɬ- неп; niwu- п1 с.; nэwnэ- п1; nэwnэʔɬ- неп; čil- п2; ənwэn- п1; ənqoɲэŋэwэ- п1; ənquɲiŋi- п1; эnwэl- неп,multiple translations
собирать в дорогу,sisxэŋɬ-,п1
собственно пятно ржавчины,qэɬt'əm,сущ
сова,ipəlak'ič,сущ
совать,tэɬ-,п1
совершить измену,ɬwaɬtэ-,неп
советовать,əlʔiɬ-,п1
совка,č'эxč,сущ
совместно,č'эʔɬ-,п1
совокупляться,nist- неп; nist- п1; nэstzo- неп; nэstzo- п1,multiple translations
совсем,soxsэm,нареч
совсем мало,kɬuʎu,нареч
согласный,soglasnoj,прил
соглашаться,əlfča-,неп
согревать,noma- п1; nomsa- п1; ənčoʔɬ- п1,multiple translations
согревать,əɲčni-,п1
содержать,txəʔɲɬ-,п1
созвездие Большой Медведицы,Ӄaɲčsχ,сущ
создавая марево,atərwatэ-,неп
сознаваться,ikэ-,неп
сознание терять,tpla-,неп
созревать,is-,неп
созывать,oč'эt-,п1
сок березовый,iʔmэməm,сущ
сокол,rэwlan,сущ
сократить,nikəms-,п1
соленая рыба,soʎona,сущ
соленый,ik'sxulaχ прил; solkoj прил; soʎonoj прил,multiple translations
солить,soʎaʔɬ- неп; soʎaʔɬ- п1,multiple translations
солнечный,klačʔin,прил
солнце,lač,сущ
солнце садится,čkɬit-,неп
солнце садиться,čkɬ-,неп
солнышко,laččaχ,сущ
солонка,soʎajoɬxэn,сущ
соль,soʎ,сущ
сомневаться,kojos-,неп
сон,rэtrэt,сущ
сообща,quɲэŋ,нареч
сообщение,ampэlač,сущ
сопка,ŋэjŋэ,сущ
сопля,lэwaŋ сущ; əllaŋ сущ,multiple translations
Сопочное,Сusx,собств
соревноваться,wəl-,неп
сосать,əlχэ- неп; əlχэ- п1,multiple translations
сосок,ʎuʎučχ,сущ
сосок мужской груди,lalxaŋ,сущ
состязаться,wəl-,неп
сосуд,tjotjəm сущ; эʔjoɬxэn сущ,multiple translations
четырехугольный,akinsx,сущ
сосуд для воды,эʔjoɬxэn,сущ
сосулька,kэtwoɬčaχ,сущ
сохнуть,k'axsa- неп; k'isxɬ- неп,multiple translations
сохранить,ənftэʔɬ-,п1
сохранять,ŋiti-,п1
союзка (при меховой обуви),lэlut,сущ
спальня,ʷŋэkɬnom,сущ
спасать,spasaɬ- неп; spasaʔɬ- неп; ənspasaʔɬ- п1,multiple translations
спасибо,qэč'эɬ,нареч
Спаситель,spasaʔɬkaɬχ,сущ
спать,jilqэt- неп с.; jəlqэ- неп с.; ʷŋikɬ- неп; ʷŋiksini- неп,multiple translations
спать хотеть,tsqэ-,неп
спелый,k'isknэn,прил
спереди,kɬfəɲčk,нареч
спеть,čaqaʔɬ-,неп
для привязвания собак,k'ilэχэzum,сущ
спешить,čэfi-,неп
спилить,piliʔɬ-,неп
спина,k'aač сущ с.; k'awač сущ,multiple translations
спинка рыбы,koč'χ сущ; sэqэsэq сущ,multiple translations
спинная жила,pilwit,сущ
спинная часть оленьей туши,sitɬp-,п1
спинной плавник,tənzasχ,сущ
спички,spičkaʔn,сущ
сплавлять,twi-,п1
сплошной,prostoj,прил
сплющивать,əmptqэ-,п1
спокойно,tkarwэla,нареч
спокойный,isэŋlaχ,прил
спор,akumanom сущ; anɬmanom сущ,multiple translations
спорить,sporэʔɬ-,неп
спорт,sport,сущ
спортивный,sportiwnoj,прил
способ вылова рыбы,marik,сущ
спотыкаться,kup-,неп
спотыкаться многократно,kupsxэn-,неп
справедливый,kliɬʔin,прил
спрашивать,qɬiɲɬlu- п1; ɬiɲɬlu- п1; ɬэɲɬlozo- п1; pəŋlo- неп с.,multiple translations
спрашивать разрешения,spŋэl-,неп
спрашивать(ся),spŋэl-,неп
спрыгивать,stk'ɬat- неп; st'kɬ- неп; st'kɬatэ- неп,multiple translations
спрятать,namzŋa-,п1
спуск с обрыва,nasnom,сущ
спускать,tnas-,п1
спускать шкуру,xinsxtla-,п1
спускаться,nas-,неп
сражаться,lut'ɬxэ-,неп
сразу,qnaŋ нареч; qnэŋ нареч с.,multiple translations
среди,kӑnnэnk,нареч
средний,kӑnnэnʔan прил; kӑnnʔin прил,multiple translations
ссора,lot'ɬxэs,сущ
ссориться,loŋэl- п2; čχmal- неп,multiple translations
ставить,əntχzuʔɬ- п1; əɲčxl- п1,multiple translations
ставить вертикально,əntχzuʔɬ-,п1
ставить заплаты,atɬэmk'a- п1; otxp- п1,multiple translations
ставить заплаты на одежду,azəmzэ-,п1
обуви,atɬэmk'aʔɬ-,неп
ставить капканы,ančxlэt-,п1
ставить на стол,əɲčэw-,п1
ставить силки,ančxlэt-,п1
стадо,ŋэlэ,сущ
стадо охранять,xčoɬ-,п1
стадо пасти,xčoɬ-,п1
сталкивать,tniɬ-,п1
становиться,lэ- неп; lэtэt- неп,multiple translations
становиться в строй,tэkэj-,неп
становиться короче,ikəmsэ-,неп
становиться мягким,filk'si-,неп
становиться сильнее,q'эfsэ-,неп
становиться тонким,kčoɲsэ-,неп
лыжи,naɬaʔniŋ,сущ
стараться,staraʔɬ-,неп
старая (пожилая) женщина,ktxlotэknэn,сущ
"старая, поношенная кухлянка",jэrwač,сущ
средний кулик,t'ot'ot' сущ; pэtowal сущ urilwič сущ,multiple translations
срезать,əlpə-,п1
срезать шерсть,əlpə-,п1
срочный,sročnoj,прил
срубить,əmpχэ-,п1
срывать,lэk'a-,п1
срываться,tsӑl-,неп
срываться (сверху),kzi-,неп
стареть,d'эd'utэ- неп; tχloŋ lэ- неп; ənpə- неп,multiple translations
стареть (о женщине),бaбutэ-,неп
старик,d'эd'učχ сущ; χэqač сущ,multiple translations
любовник,kaɬalxp,сущ
старинный,it'эnan прил; qaʔt'anan прил,multiple translations
